nomor_ruas,nama_ruas_raw,name_variants_count,segments,panjang_m,baik_m,sedang_m,rusak_ringan_m,rusak_berat_m,mantap_m,tidak_mantap_m,baik_pct,sedang_pct,rusak_ringan_pct,rusak_berat_pct,tidak_mantap_pct,surface_code_mode,surface_label_mode,lebar_m_mode,tahun_survei_mode,name_variants
277,Jl. Haratai 2 (Balai Ujung Atas) SDN Haratai2,1,27,2700.0,0,2100.0,200.0,400.0,2100.0,600.0,0.0,77.777778,7.407407,14.814815,22.222222,B,Beton,2.0,2025,Jl. Haratai 2 (Balai Ujung Atas) SDN Haratai2
278,Jl. Bubuih (Ds. Halunuk) - Kandihin,1,30,2930.0,0,0,2230.0,700.0,0,2930.0,0.0,0.0,76.109215,23.890785,100.0,B,Beton,2.0,2025,Jl. Bubuih (Ds. Halunuk) - Kandihin
279,Jl. Makam Habib - Desa Lumpangi,1,4,380.0,0,380.0,0,0,380.0,0,0.0,100.0,0.0,0.0,0.0,B,Beton,1.5,2025,Jl. Makam Habib - Desa Lumpangi
280,Jl. Datar Belimbing - Muara Kitar,1,49,4860.0,0,2760.0,300.0,1800.0,2760.0,2100.0,0.0,56.790123,6.17284,37.037037,43.209877,B,Beton,1.5,2025,Jl. Datar Belimbing - Muara Kitar
281,Jl. Tanginau - Balai Haruyan,1,12,1160.0,0,360.0,800.0,0,360.0,800.0,0.0,31.034483,68.965517,0.0,68.965517,B,Beton,1.5,2025,Jl. Tanginau - Balai Haruyan
282,Jl. Tataian - (Ds. Ulang) - Loksado,1,4,400.0,0,300.0,0,100.0,300.0,100.0,0.0,75.0,0.0,25.0,25.0,B,Beton,1.5,2025,Jl. Tataian - (Ds. Ulang) - Loksado
283,Jl. Ulang - Kacang Parang,1,18,1750.0,0,700.0,800.0,250.0,700.0,1050.0,0.0,40.0,45.714286,14.285714,60.0,B,Beton,2.0,2025,Jl. Ulang - Kacang Parang
284,Jl. Kacang Parang (Ulang) - Balai Mawak-Kias,1,21,2080.0,0,1180.0,800.0,100.0,1180.0,900.0,0.0,56.730769,38.461538,4.807692,43.269231,B,Beton,1.5,2025,Jl. Kacang Parang (Ulang) - Balai Mawak-Kias
285,Jl. Kacang Parang (Ulang) - Balai Wariung,1,9,830.0,0,830.0,0,0,830.0,0,0.0,100.0,0.0,0.0,0.0,B,Beton,1.5,2025,Jl. Kacang Parang (Ulang) - Balai Wariung
286,Jl. Loksado - Pantai Dusin,1,23,2270.0,0,2270.0,0,0,2270.0,0,0.0,100.0,0.0,0.0,0.0,B,Beton,1.5,2025,Jl. Loksado - Pantai Dusin
287,Jl. Malinau - Kandihin,1,42,4160.0,0,200.0,700.0,3260.0,200.0,3960.0,0.0,4.807692,16.826923,78.365385,95.192308,T,Tanah,1.5,2025,Jl. Malinau - Kandihin
288,Jl. Ulang - Bangkaun,1,36,3560.0,0,1360.0,0,2200.0,1360.0,2200.0,0.0,38.202247,0.0,61.797753,61.797753,B,Beton,1.5,2025,Jl. Ulang - Bangkaun
289,Bayanan - Habirau Tengah,1,29,2860.0,200.0,1300.0,300.0,1060.0,1500.0,1360.0,6.993007,45.454545,10.48951,37.062937,47.552448,A,Aspal,3.5,2025,Bayanan - Habirau Tengah
290,Tumbukan Banyu - Banua Hanyar,1,50,5000.0,5000.0,0,0,0,5000.0,0,100.0,0.0,0.0,0.0,0.0,A,Aspal,3.5,2025,Tumbukan Banyu - Banua Hanyar
291,Jl. Satria,1,4,370.0,370.0,0,0,0,370.0,0,100.0,0.0,0.0,0.0,0.0,A,Aspal,3.0,2025,Jl. Satria
292,Jl. Musyawarah (Nagara),1,5,410.0,410.0,0,0,0,410.0,0,100.0,0.0,0.0,0.0,0.0,A,Aspal,3.5,2025,Jl. Musyawarah (Nagara)
293,Jl. Sekolah Islam (Sungai Pinang / Sei Pinang),1,4,400.0,400.0,0,0,0,400.0,0,100.0,0.0,0.0,0.0,0.0,A,Aspal,3.5,2025,Jl. Sekolah Islam (Sungai Pinang / Sei Pinang)
294,Jl. Habib,1,4,320.0,320.0,0,0,0,320.0,0,100.0,0.0,0.0,0.0,0.0,A,Aspal,3.0,2025,Jl. Habib
295,Jl. Mawar (Daha Selatan),1,3,270.0,0,0,270.0,0,0,270.0,0.0,0.0,100.0,0.0,100.0,A,Aspal,3.5,2025,Jl. Mawar (Daha Selatan)
296,Jl. Inst. PDAM Negara,1,3,260.0,0,160.0,100.0,0,160.0,100.0,0.0,61.538462,38.461538,0.0,38.461538,A,Aspal,3.5,2025,Jl. Inst. PDAM Negara
297,Jl. Gerilya / (Depan PUSTU Habirau),1,3,240.0,0,0,0,240.0,0,240.0,0.0,0.0,0.0,100.0,100.0,A,Aspal,3.5,2025,Jl. Gerilya / (Depan PUSTU Habirau)
298,Jl. Harapan (SDN Habirau II)/ Sei. Palangan,1,3,210.0,0,0,210.0,0,0,210.0,0.0,0.0,100.0,0.0,100.0,A,Aspal,3.0,2025,Jl. Harapan (SDN Habirau II)/ Sei. Palangan
299,Samuda - Bajayau,1,85,8500.0,5000.0,700.0,700.0,2100.0,5700.0,2800.0,58.823529,8.235294,8.235294,24.705882,32.941176,A,Aspal,3.5,2025,Samuda - Bajayau
300,Jl. Tambangan - Ds. Baruh Jaya,1,23,2230.0,0,0,630.0,1600.0,0,2230.0,0.0,0.0,28.251121,71.748879,100.0,B,Beton,3.0,2025,Jl. Tambangan - Ds. Baruh Jaya
301,Muning Tengah - Batang Alai (Pihanin Raya),1,53,5260.0,0,0,0,5260.0,0,5260.0,0.0,0.0,0.0,100.0,100.0,T,Tanah,3.0,2025,Muning Tengah - Batang Alai (Pihanin Raya)
302,Muning Tengah - Ds. Muning Dalam,1,172,17110.0,0,0,0,17110.0,0,17110.0,0.0,0.0,0.0,100.0,100.0,T,Tanah,3.0,2025,Muning Tengah - Ds. Muning Dalam
303,SP.4 Banjarbaru - Pasar Negara,1,7,660.0,0,560.0,100.0,0,560.0,100.0,0.0,84.848485,15.151515,0.0,15.151515,A,Aspal,3.5,2025,SP.4 Banjarbaru - Pasar Negara
304,Negara - Tumbukan Banyu,1,6,530.0,130.0,300.0,100.0,0,430.0,100.0,24.528302,56.603774,18.867925,0.0,18.867925,A,Aspal,5.0,2025,Negara - Tumbukan Banyu
305,SP.4. Banjarbaru - Pihanin Raya,1,11,1040.0,1040.0,0,0,0,1040.0,0,100.0,0.0,0.0,0.0,0.0,A,Aspal,4.0,2025,SP.4. Banjarbaru - Pihanin Raya
306,Bayanan - Pihanin,1,23,2210.0,600.0,400.0,600.0,610.0,1000.0,1210.0,27.149321,18.099548,27.149321,27.60181,54.751131,A,Aspal,3.5,2025,Bayanan - Pihanin
307,Jl. Kantor Camat Daha Selatan II,1,4,320.0,0,320.0,0,0,320.0,0,0.0,100.0,0.0,0.0,0.0,A,Aspal,4.0,2025,Jl. Kantor Camat Daha Selatan II
308,Jl. Sungai Bugundi,1,4,310.0,0,0,310.0,0,0,310.0,0.0,0.0,100.0,0.0,100.0,B,Beton,3.0,2025,Jl. Sungai Bugundi
309,Jl. Tukang Garit (Tambangan),1,5,480.0,0,0,0,480.0,0,480.0,0.0,0.0,0.0,100.0,100.0,K,Kerikil,3.0,2025,Jl. Tukang Garit (Tambangan)
310,Pandak Daun - Baruh Jaya - Samuda,1,74,7330.0,200.0,5100.0,1530.0,500.0,5300.0,2030.0,2.728513,69.57708,20.873124,6.821282,27.694407,A,Aspal,3.5,2025,Pandak Daun - Baruh Jaya - Samuda
311,Sei. Mandala Murung Raya,1,21,2100.0,100.0,300.0,1000.0,700.0,400.0,1700.0,4.761905,14.285714,47.619048,33.333333,80.952381,A,Aspal,3.5,2025,Sei. Mandala Murung Raya
312,Jl. Teluk Haur I,1,2,180.0,0,0,0,180.0,0,180.0,0.0,0.0,0.0,100.0,100.0,A,Aspal,3.0,2025,Jl. Teluk Haur I
313,Jl. Teluk Haur II,1,3,210.0,0,0,0,210.0,0,210.0,0.0,0.0,0.0,100.0,100.0,K,Kerikil,3.0,2025,Jl. Teluk Haur II
314,Jl. H.M. Thaib,1,4,350.0,0,150.0,100.0,100.0,150.0,200.0,0.0,42.857143,28.571429,28.571429,57.142857,A,Aspal,3.0,2025,Jl. H.M. Thaib
315,Jl. Kenanga - Ds. Baruh Kambang,1,4,310.0,200.0,0,0,110.0,200.0,110.0,64.516129,0.0,0.0,35.483871,35.483871,A,Aspal,3.0,2025,Jl. Kenanga - Ds. Baruh Kambang
316,Jl. SMAN Negara (KH. Abdullah),1,4,340.0,340.0,0,0,0,340.0,0,100.0,0.0,0.0,0.0,0.0,A,Aspal,3.5,2025,Jl. SMAN Negara (KH. Abdullah)
317,Jl. Pertukangan,1,4,320.0,320.0,0,0,0,320.0,0,100.0,0.0,0.0,0.0,0.0,A,Aspal,3.0,2025,Jl. Pertukangan
318,Jl. Silaturrahim,1,3,280.0,280.0,0,0,0,280.0,0,100.0,0.0,0.0,0.0,0.0,A,Aspal,3.0,2025,Jl. Silaturrahim
319,Jl. Habib Ibrahim - Ds. Sei Mandala,1,2,170.0,170.0,0,0,0,170.0,0,100.0,0.0,0.0,0.0,0.0,A,Aspal,3.0,2025,Jl. Habib Ibrahim - Ds. Sei Mandala
320,Jl. Sukaramai - Keramat,1,8,730.0,730.0,0,0,0,730.0,0,100.0,0.0,0.0,0.0,0.0,A,Aspal,3.0,2025,Jl. Sukaramai - Keramat
321,Jl. Pakan Dalam I,1,4,320.0,0,320.0,0,0,320.0,0,0.0,100.0,0.0,0.0,0.0,A,Aspal,3.5,2025,Jl. Pakan Dalam I
322,Jl. Pakan Dalam II,1,3,290.0,0,290.0,0,0,290.0,0,0.0,100.0,0.0,0.0,0.0,A,Aspal,3.5,2025,Jl. Pakan Dalam II
323,Jl. Pakan Dalam III,1,3,280.0,0,280.0,0,0,280.0,0,0.0,100.0,0.0,0.0,0.0,A,Aspal,3.5,2025,Jl. Pakan Dalam III
324,Jl. Paramaian,1,3,300.0,0,0,0,300.0,0,300.0,0.0,0.0,0.0,100.0,100.0,A,Aspal,3.0,2025,Jl. Paramaian
325,Jl. MIN Pandak Daun,1,3,300.0,0,100.0,0,200.0,100.0,200.0,0.0,33.333333,0.0,66.666667,66.666667,K,Kerikil,3.0,2025,Jl. MIN Pandak Daun
326,Jl. Pesantren Muradiyah,1,3,270.0,0,270.0,0,0,270.0,0,0.0,100.0,0.0,0.0,0.0,A,Aspal,3.0,2025,Jl. Pesantren Muradiyah
327,Pandak Daun (Buntut Muradiyah) - Pakan Dalam,1,17,1650.0,0,0,0,1650.0,0,1650.0,0.0,0.0,0.0,100.0,100.0,T,Tanah,3.5,2025,Pandak Daun (Buntut Muradiyah) - Pakan Dalam
328,Pakan Dalam - Kaminting Batu,1,19,1820.0,200.0,800.0,220.0,600.0,1000.0,820.0,10.989011,43.956044,12.087912,32.967033,45.054945,A,Aspal,3.0,2025,Pakan Dalam - Kaminting Batu
329,Jl. Samping Kantor Camat Daha Utara,1,2,150.0,0,150.0,0,0,150.0,0,0.0,100.0,0.0,0.0,0.0,A,Aspal,3.5,2025,Jl. Samping Kantor Camat Daha Utara
330,Jl. Gang Bidan (Ds. Tambak Bitin),1,6,570.0,570.0,0,0,0,570.0,0,100.0,0.0,0.0,0.0,0.0,B,Beton,3.0,2025,Jl. Gang Bidan (Ds. Tambak Bitin)
