nomor_ruas,nama_ruas_raw,mantap_m,tidak_mantap_m,tahun_survei
103,Karasikan - Sarang Halang,900.0,1000.0,2025
104,Tanjungan - Sp. 3 Sakijang,100.0,1490.0,2025
105,Sarang Halang Padang - Sp. Batang Kulur,1610.0,500.0,2025
106,Hamalau - Ganda,500.0,670.0,2025
107,Tamiyang - Ds. Tamiyang (Eks TMMD),0.0,2040.0,2025
108,Tanah Bangkang Menuju Balai Benih Ikan,200.0,460.0,2025
109,Karang Intan - Tanah Bangkang,1110.0,0.0,2025
110,Jl. Haritas (PT. Pertani),640.0,0.0,2025
111,Paharuangan - Sei. Raya Selatan,1400.0,560.0,2025
112,Jl. Bangga TMMD,0.0,790.0,2025
113,Batang Kulur Kiri - Durian Landung,550.0,0.0,2025
114,Jl. Taminung,2000.0,20.0,2025
115,Matang Gadung - Halalang,420.0,0.0,2025
116,Sungai Raya Utara - Teluk Pinang,1500.0,200.0,2025
117,Jl. Mangunang - Ds. Sungai Raya Utara,700.0,0.0,2025
118,Hamalau - Asam Cangkok,1430.0,0.0,2025
119,Hariti - Sungai Raya Selatan,400.0,2260.0,2025
120,Mangaris - Limau Manis,0.0,4100.0,2025
121,Jl. Munggu Raya - Ds. Hariti,460.0,0.0,2025
122,Paharuangan - Asam Dua,200.0,710.0,2025
123,Asam Seranggan - Asam Tamiyang,1020.0,0.0,2025
124,Jl. Papancan - Ds. Tanah Bangkang,1460.0,0.0,2025
125,Jl. Baru - Asam Desa Baru,1120.0,200.0,2025
126,Jl. Sungai Namang - Ds. Tanah Bangkang,0.0,730.0,2025
127,Jarau - Parandakan,0.0,700.0,2025
128,Mungkur Galah - Lokpaikat,200.0,510.0,2025
129,Batang Kulur Kanan - Bumi Berkat (Jl. Kisung),0.0,1610.0,2025
130,Batang Kulur Kanan - Batang Kulur Kiri,0.0,820.0,2025
131,Jl. Manggis - Ds. Baru,0.0,1280.0,2025
132,Jl. TPA - Ds. Sungai Raya Selatan,850.0,0.0,2025
133,Jl. Pembangunan - Ds. Sungai Raya Utara,350.0,600.0,2025
134,Jl. Kalaka Dayuh - Ds. Sungai Raya Utara,0.0,430.0,2025
135,Teluk Pinang - Padang Rasau,1200.0,980.0,2025
136,Tanayung - Simp. Ambarai,1210.0,400.0,2025
137,Tabihi - Telaga Langsat,8350.0,300.0,2025
138,Karang Jawa -Ambarai - Sungai Bungur,1840.0,2200.0,2025
139,Ambarai - Madang,1740.0,0.0,2025
140,Padang Batung - Batulaki - Malilingin,2480.0,6400.0,2025
141,Malilingin - Lokbahan - Paniungan,8300.0,2360.0,2025
142,Mawangi - Bukuanin - Telaga Langsat,8120.0,6100.0,2025
143,Mandapai - Madang,2920.0,2900.0,2025
144,Kaliring - Sp. Padang Batung,2400.0,2100.0,2025
145,Pagar  Haur - Malutu,220.0,0.0,2025
146,Simpang Malutu - Pahampangan,0.0,4510.0,2025
147,Simpang Malutu - Tambak,1800.0,1070.0,2025
148,Pagat Batu - Muara Hariang,2570.0,700.0,2025
149,Paku (Jambu Hulu) - Ganda,0.0,1880.0,2025
150,Sp.3 Bukuanin - Riam Talo,1000.0,2120.0,2025
151,Sp.3 Bukuanin - Tayub,600.0,2790.0,2025
152,Madang - Ambutun,2040.0,900.0,2025
153,Jl. Monumen 17 Mei - Mandapai,60.0,0.0,2025
154,Batu Laki - Muara Pipii,900.0,3370.0,2025
155,Muara Pipii - Tambak Pipii,0.0,4650.0,2025
156,Tambak Pipii - Malilingin,980.0,3900.0,2025
157,Malilingin - Muara Hariang,0.0,4570.0,2025
158,Mawangi - Pariangan,1250.0,1100.0,2025
159,Jambu Hulu - Paku Pantai,1500.0,120.0,2025
160,Sungai Minting - Ds. Malutu,470.0,0.0,2025
161,Padang Rasau (Tambak Tamiang) - Paku Pantai,1930.0,300.0,2025
162,Jl. Galuntang Tayub - Ds. Madang,2360.0,0.0,2025
163,Jl. Menuju SMPN Malilingin,350.0,100.0,2025
164,Jl. Samping Mesjid Mandapai,140.0,100.0,2025
165,Muara Hariang - Bayumbung,300.0,3700.0,2025
166,Tambak Pipii - Batu Ampar,0.0,1980.0,2025
167,Bakarung - Rantauan,2130.0,900.0,2025
168,Taniran Selatan - Rantauan,1110.0,0.0,2025
169,Bakarung -Tabihi - Karang Jawa,2570.0,2000.0,2025
170,Pandulangan - Kalinduku,70.0,1000.0,2025
171,Taniran Selatan Kubah - Buntut Taniran / Wawaran,3040.0,3700.0,2025
172,Angkinang Selatan - Tawia - Wawaran,4980.0,900.0,2025
173,Tawia - Kayu Abang,1490.0,0.0,2025
174,Bamban Selatan - Tanggang - Panggang Hijau,1000.0,2580.0,2025
175,Angkinang - Telaga Langsat,4380.0,1200.0,2025
176,Bamban Selatan - Pakuan,1890.0,200.0,2025
177,Bamban Utara - Longawang,2010.0,100.0,2025
178,Angkinang - Kayu Abang - Panggang Hijau,2500.0,4500.0,2025
179,Sp. Mandampa Tel. Sili-Sili - Sp. Sei. Bungur,3000.0,1900.0,2025
180,Sungai Kudung - Kalinduku,1050.0,1900.0,2025
181,Bamban Tengah - Lok Nyiur,700.0,560.0,2025
182,Sp. Bakarung Selatan - Sungai Kudung,300.0,250.0,2025
183,Panggang Hijau - Ds. Tawar,0.0,3670.0,2025
184,Taniran Tengah - Taniran Selatan,2260.0,0.0,2025
185,Jl. Kayu Abang - Ds. Anjiran,580.0,400.0,2025
186,Jl. Rel Angkinang - TMMD Angkinang,200.0,3430.0,2025
187,Jl. AMD - Ds. Lok Binuang,0.0,1570.0,2025
188,Jl. Pandan Sari - Ds. Angkinang,340.0,100.0,2025
189,Bamban Selatan - Pakuan Balunan,1710.0,0.0,2025
190,Kayu Abang - Paya,400.0,300.0,2025
191,Bamban (Tibung) - Martajiwa,0.0,660.0,2025
192,Rantauan - Sungai Baru (Jl. Pulau),1080.0,100.0,2025
193,Telaga Langsat - Pakuan Timur,900.0,1920.0,2025
194,Longawang - Gumbil,1660.0,0.0,2025
195,Mandampa - Longawang,2600.0,260.0,2025
196,Gumbil - Masimpan,3800.0,1200.0,2025
197,Hamak Timur - Umpaya,3190.0,1000.0,2025
198,Hamak - Umbai,100.0,870.0,2025
199,Hamak Utara - Samaragi,0.0,300.0,2025
200,Umpaya - Tumarin,560.0,0.0,2025
201,Jl. Sungai Durian - Ds. Gumbil,900.0,50.0,2025
202,Pantai Langsat - Umpaya,4450.0,0.0,2025
203,Halayung - Hantarukung,1910.0,0.0,2025
204,Wasah Hulu - Amparaya - Simpur,1200.0,5160.0,2025
205,Wasah Hilir - Sarang Halang,2530.0,600.0,2025
206,Simpur - Simp. Bilui,830.0,200.0,2025
