nomor_ruas,nama_ruas_raw,sta_awal_raw,sta_akhir_raw,sta_start_m,sta_end_m,panjang_m,baik_m,sedang_m,rusak_ringan_m,rusak_berat_m,mantap_m,tidak_mantap_m,dominant_condition,segment_status,jenis_penanganan_raw,jenis_penanganan_norm,surface_code,surface_label,lebar_m,tahun_survei
005,Jl. Teluk Mesjid - Sp. 4 Muara Banta,1400,1430,1400,1430,30.0,0.0,30.0,0.0,0.0,30.0,0.0,sedang,mantap,Routine,routine,A,Aspal,5.0,2025
006,Jl. Merah Johansyah - Jl. Melati,0,100,0,100,100.0,100.0,0.0,0.0,0.0,100.0,0.0,baik,mantap,Routine,routine,A,Aspal,6.0,2025
006,Jl. Merah Johansyah - Jl. Melati,100,200,100,200,100.0,100.0,0.0,0.0,0.0,100.0,0.0,baik,mantap,Routine,routine,A,Aspal,6.0,2025
006,Jl. Merah Johansyah - Jl. Melati,200,300,200,300,100.0,100.0,0.0,0.0,0.0,100.0,0.0,baik,mantap,Routine,routine,A,Aspal,6.0,2025
006,Jl. Merah Johansyah - Jl. Melati,300,400,300,400,100.0,100.0,0.0,0.0,0.0,100.0,0.0,baik,mantap,Routine,routine,A,Aspal,6.0,2025
006,Jl. Merah Johansyah - Jl. Melati,400,500,400,500,100.0,100.0,0.0,0.0,0.0,100.0,0.0,baik,mantap,Routine,routine,A,Aspal,6.0,2025
006,Jl. Merah Johansyah - Jl. Melati,500,600,500,600,100.0,100.0,0.0,0.0,0.0,100.0,0.0,baik,mantap,Routine,routine,A,Aspal,6.0,2025
006,Jl. Merah Johansyah - Jl. Melati,600,700,600,700,100.0,100.0,0.0,0.0,0.0,100.0,0.0,baik,mantap,Routine,routine,A,Aspal,6.0,2025
006,Jl. Merah Johansyah - Jl. Melati,700,800,700,800,100.0,100.0,0.0,0.0,0.0,100.0,0.0,baik,mantap,Routine,routine,A,Aspal,6.0,2025
006,Jl. Merah Johansyah - Jl. Melati,800,820,800,820,20.0,20.0,0.0,0.0,0.0,20.0,0.0,baik,mantap,Routine,routine,A,Aspal,6.0,2025
007,Jl. Menuju Stadion 2 Desember,0,100,0,100,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,12.0,2025
007,Jl. Menuju Stadion 2 Desember,100,200,100,200,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,12.0,2025
007,Jl. Menuju Stadion 2 Desember,200,290,200,290,90.0,0.0,90.0,0.0,0.0,90.0,0.0,sedang,mantap,Routine,routine,A,Aspal,12.0,2025
008,Jl. Aluh Idut,0,100,0,100,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,5.0,2025
008,Jl. Aluh Idut,100,200,100,200,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,5.0,2025
008,Jl. Aluh Idut,200,300,200,300,100.0,0.0,100.0,0.0,0.0,100.0,0.0,sedang,mantap,Routine,routine,A,Aspal,5.0,2025
