geometry_road_name,geometry_legacy_ref,resolved_key,dd2_feature_found,lookup_method,matched_dd2_name,reason_if_missing
"Jl. Sungai Minting - Ds. Malutu","ruas_277","sungai minting - desa malutu",true,"direct","Sungai Minting - Ds. Malutu",""
"Jl. Menuju SMPN Malilingin","ruas_278","menuju smpn malilingin",true,"direct","Menuju SMPN Malilingin",""
"Jl. Bamban Selatan - Pakuan Balunan","ruas_279","bamban selatan - pakuan balunan",true,"direct","Bamban Selatan - Pakuan Balunan",""
"Jl. Kayu Abang - Paya","ruas_280","kayu abang - paya",true,"direct","Kayu Abang - Paya",""
"Jl. Rantauan - Sungai Baru (Jl. Pulau)","ruas_281","rantauan - sungai baru pulau",true,"direct","Rantauan - Sungai Baru (Pulau)",""
"Jl. Umpaya - Tumarin","ruas_282","umpaya - tumarin",true,"direct","Umpaya - Tumarin",""
"Jl. Hulu Banyu - Pantai Langsat","ruas_283","hulu banyu - pantai langsat",true,"direct","Hulu Banyu - Pantai Langsat",""
"Jl. Rawati","ruas_284","rawati - desa panjampang bahagia",true,"manual_alias","Rawati - Ds. Panjampang Bahagia",""
"Jl. Pianggu","ruas_285","pianggu",true,"direct","Pianggu",""
"Jl. Buluh Ds. Tebing Tinggi","ruas_286","buluh - desa tebing tinggi",true,"alias","Buluh - Ds. Tebing Tinggi",""
"Jl. H. Saim/Garunggang","ruas_287","h saim garunggang - kalimput",true,"alias","H. Saim Garunggang - Kalimput",""
"Jl. Air Miris","ruas_288","air miris - desa wasah hilir",true,"alias","Air Miris - Ds. Wasah Hilir",""
"Tandik - Wasah Hilir","ruas_289","tandik - desa wasah hilir",true,"alias","Tandik - Ds. Wasah Hilir",""
"Jl. Karampaci","ruas_290","karampaci - desa kapuh",true,"alias","Karampaci - Ds. Kapuh",""
"Jl. At-Taubah","ruas_291","at - taubah - desa kapuh",true,"alias","At-Taubah - Ds. Kapuh",""
"Jl. HM. Thaib","ruas_292","h m thaib",true,"alias","H.M. Thaib",""
"Jl. Habib Iberahim","ruas_293","habib ibrahim - desa sei mandala",true,"manual_alias","Habib Ibrahim - Ds. Sei Mandala",""
"Jl. MIN Pandak Daun","ruas_294","min pandak daun",true,"direct","MIN Pandak Daun",""
"Jl. Suriangpati","ruas_295","suriangpati - gambah dalam barat",true,"manual_alias","Suriangpati - Gambah Dalam Barat",""
"Ulang - Bangkaun","ruas_296","ulang - bangkaun",true,"direct","Ulang - Bangkaun",""
"Jl. Sakincung Ds. Hakurun Dalam","ruas_297","sakincung - desa hakurung dalam",true,"alias","Sakincung - Ds. Hakurung Dalam",""
"Tambak Pipii - Batu Ampar","ruas_298","tambak pipii - batu ampar",true,"direct","Tambak Pipii - Batu Ampar",""
"Jl. Palas - Ds. Wasah Tengah","ruas_299","palas - desa wasah tengah",true,"direct","Palas - Ds. Wasah Tengah",""
"Jl. Sungai Kacil II","ruas_300","sungai kacil ii",true,"direct","Sungai Kacil II",""
"Jl. Ds. Kapuh Tengah (Jl. Menuju Majelis Taklim)","ruas_301","desa kapuh tengah menuju majelis talim",true,"alias","Ds. Kapuh Tengah (Menuju Majelis Talim)",""
"Jl. Menuju Stadion 2 Desember","ruas_302","menuju stadion 2 desember",true,"direct","Menuju Stadion 2 Desember",""
"Jl. Gerilya Ds. Simpur","ruas_303","gerilya - desa simpur",true,"alias","Gerilya - Ds. Simpur",""
"Jl. Jangkang - Ds. Wasah Hilir","ruas_304","jangkang - desa wasah hilir",true,"direct","Jangkang - Ds. Wasah Hilir",""
