geometry_road_name,geometry_legacy_ref,resolved_key,dd2_feature_found,lookup_method,matched_dd2_name,reason_if_missing
"Singakarsa - Palas","ruas_078","singakarsa - palas",true,"direct","Singakarsa - Palas",""
"Karasikan - Sarang Halang","ruas_079","karasikan - sarang halang",true,"direct","Karasikan - Sarang Halang",""
"Jl. Hamalau - Ganda","ruas_080","hamalau - ganda",true,"direct","Hamalau - Ganda",""
"Ulin - Tanggul (Balai Mas)","ruas_081","ulin - tanggul balai mas",true,"direct","Ulin - Tanggul (Balai Mas)",""
"Jl. Tanuhi - Hulu Banyu","ruas_082","tanuhi - hulu banyu",true,"direct","Tanuhi - Hulu Banyu",""
"Jl. Sekolah Islam","ruas_083","sekolah islam kandangan barat",true,"manual_ref_alias","Sekolah Islam (Kandangan Barat)",""
"Gambah Dalam - Rantauan","ruas_084","gambah dalam - rantauan",true,"direct","Gambah Dalam - Rantauan",""
"Simpur - Simpang Bilui","ruas_085","simpur - simp bilui",true,"te_local_alias","Simpur - Simp. Bilui",""
"Jl. Mangamol","ruas_086","mangamol - desa pantai ulin",true,"alias","Mangamol - Ds. Pantai Ulin",""
"Jl. Batang Kulur Kiri - Durian Landung","ruas_087","batang kulur kiri - durian landung",true,"direct","Batang Kulur Kiri - Durian Landung",""
"Jl. Jangkang - Pantai Ulin","ruas_088","jangkang - pantai ulin",true,"direct","Jangkang - Pantai Ulin",""
"Jl. Aluh Idut","ruas_089","aluh idut",true,"direct","Aluh Idut",""
"Baluti - Jambu Hulu/Paku","ruas_090","baluti - jambu hulu paku",true,"direct","Baluti - Jambu Hulu (Paku)",""
"Kandangan Hulu - SP. Tabihi","ruas_091","kandangan hulu - sp tabihi",true,"direct","Kandangan Hulu - Sp. Tabihi",""
"Jl. Pemuda","ruas_092","pemuda",true,"direct","Pemuda",""
"Pagat Batu - Muara Hariang","ruas_093","pagat batu - muara hariang",true,"direct","Pagat Batu - Muara Hariang",""
"Jl. Halayung - Hantarukung","ruas_094","halayung - hantarukung",true,"direct","Halayung - Hantarukung",""
"Gambah Luar - Gambah Dalam","ruas_095","gambah luar - gambah dalam",true,"direct","Gambah Luar - Gambah Dalam",""
"Teluk Pinang - Baluti","ruas_096","teluk pinang - baluti",true,"direct","Teluk Pinang - Baluti",""
"Jl. Pangeran Antasari - SP. Loklua","ruas_097","pangeran antasari - loklua",true,"alias","Pangeran Antasari - Loklua",""
"Bakarung Tengah - Karang Jawa","ruas_098","bakarung tengah - karang jawa",true,"direct","Bakarung Tengah - Karang Jawa",""
"Parincahan - Singakarsa (Jl. Harapan)","ruas_099","parincahan - singakarsa harapan",true,"direct","Parincahan - Singakarsa (Harapan)",""
"Loksado - Haratai","ruas_100","loksado - haratai",true,"direct","Loksado - Haratai",""
"Wasah Tengah - Sungai Tarap","ruas_101","wasah tengah - sungai tarap",true,"direct","Wasah Tengah - Sungai Tarap",""
"Bakarung - Tabihi -Karang Jawa","ruas_102","bakarung - tabihi - karang jawa",true,"direct","Bakarung -Tabihi - Karang Jawa",""
"Jl. Kalaka Indah - Perumnas Tibung","ruas_103","kalaka indah - perumnas tibung",true,"direct","Kalaka Indah - Perumnas Tibung",""
"Teluk Pinang - Pahampangan Utara","ruas_104","teluk pinang - pahampangan utara",true,"direct","Teluk Pinang - Pahampangan Utara",""
"SP.4. Banjarbaru - Pihanin Raya","ruas_105","sp 4 banjarbaru - pihanin raya",true,"direct","SP.4. Banjarbaru - Pihanin Raya",""
"Angkinang Selatan - Tawia - Wawaran","ruas_106","angkinang selatan - tawia - wawaran",true,"direct","Angkinang Selatan - Tawia - Wawaran",""
"Bamban Selatan - Pakuan","ruas_107","bamban selatan - pakuan",true,"direct","Bamban Selatan - Pakuan",""
"Bayanan - Pihanin","ruas_108","bayanan - pihanin",true,"direct","Bayanan - Pihanin",""
"Sei. Kupang Utara - SP.4 Lungau","ruas_109","sei kupang utara - sp 4 lungau",true,"alias","Sei Kupang Utara - Simp. Empat Lungau",""
"Sei. Mandala - Murung Raya","ruas_110","sei mandala murung raya",true,"te_local_alias","Sei. Mandala Murung Raya",""
"Bamban Utara - Longawang","ruas_111","bamban utara - longawang",true,"direct","Bamban Utara - Longawang",""
"Sp.4 Lungau - Garis","ruas_112","sp 4 lungau - garis",true,"alias","Sp. Empat Lungau - Garis",""
"Jl. Kampung Kawat","ruas_113","kampung kawat",true,"direct","Kampung Kawat",""
"Mandampa - Longawang","ruas_114","mandampa - longawang",true,"direct","Mandampa - Longawang",""
"Jl. Kayu Abang - Ds. Anjiran","ruas_115","kayu abang - desa anjiran",true,"direct","Kayu Abang - Ds. Anjiran",""
"Gumbil - Masimpan","ruas_116","gumbil - masimpan",true,"direct","Gumbil - Masimpan",""
"Jl. Cakingan Herman","ruas_117","cangkingan herman",true,"alias","Cangkingan Herman",""
"Jl. Tambangan - Ds. Baruh Jaya","ruas_118","tambangan - desa baruh jaya",true,"direct","Tambangan - Ds. Baruh Jaya",""
"Pandak Daun - Baruh Jaya - Samuda","ruas_119","pandak daun - baruh jaya - samuda",true,"direct","Pandak Daun - Baruh Jaya - Samuda",""
"Pakan Dalam II","ruas_120","pakan dalam ii",true,"direct","Pakan Dalam II",""
"Pakan Dalam - Keminting Batu","ruas_121","pakan dalam - kaminting batu",true,"te_local_alias","Pakan Dalam - Kaminting Batu",""
"Jl. Satria","ruas_122","satria",true,"direct","Satria",""
"SP.4 Lungau - Bangkau","ruas_123","sp 4 lungau - bangkau",true,"alias","Sp. Empat Lungau - Bangkau",""
"Pakan Dalam III","ruas_124","pakan dalam iii",true,"direct","Pakan Dalam III",""
"Jl. Pandak Daun (Buntut Muradiyah) - Pakan Dalam","ruas_125","pandak daun buntut muradiyah - pakan dalam",true,"direct","Pandak Daun (Buntut Muradiyah) - Pakan Dalam",""
"Angkinang - Kayu Abang - Panggang Hijau","ruas_126","angkinang - kayu abang - panggang hijau",true,"direct","Angkinang - Kayu Abang - Panggang Hijau",""
"Tumbukan Banyu - Banua Hanyar","ruas_127","tumbukan banyu - banua hanyar",true,"direct","Tumbukan Banyu - Banua Hanyar",""
"Longawang - Gumbil","ruas_128","longawang - gumbil",true,"direct","Longawang - Gumbil",""
"Jl. Mawar","ruas_129","mawar daha selatan",true,"manual_ref_alias","Mawar (Daha Selatan)",""
"Angkinang - Telaga Langsat","ruas_130","angkinang - telaga langsat",true,"direct","Angkinang - Telaga Langsat",""
"Hakurung Dalam - Ds. Sungai haji","ruas_131","hakurung dalam - desa sungai haji",true,"direct","Hakurung Dalam - Ds. Sungai Haji",""
"Jl. Siang Gantung - Ds. Baru","ruas_132","siang gantung - desa baru",true,"direct","Siang Gantung - Ds. Baru",""
"Jl. Tukang Garit","ruas_133","tukang garit tambangan",true,"alias","Tukang Garit (Tambangan)",""
"Jl. Keminting Batu","ruas_134","kaminting batu",true,"alias","Kaminting Batu",""
"Jl. Baru - Ds. Bajayau","ruas_135","baru - desa bajayau",true,"direct","Baru - Ds. Bajayau",""
"Jl. Instalasi PDAM Negara","ruas_136","inst pdam negara",true,"alias","Inst. PDAM Negara",""
"SP.4 Banjarbaru - Pasar Negara","ruas_137","sp 4 banjarbaru - pasar negara",true,"direct","SP.4 Banjarbaru - Pasar Negara",""
"Pakan Dalam I","ruas_138","pakan dalam i",true,"direct","Pakan Dalam I",""
"Jl. Sekolah Islam","ruas_139","sekolah islam sungai pinang",true,"manual_ref_alias","Sekolah Islam (Sungai Pinang)",""
"Telaga Langsat - Pakuan Timur","ruas_140","telaga langsat - pakuan timur",true,"direct","Telaga Langsat - Pakuan Timur",""
"Jl. Hamayung - Ds. Hakurung Dalam","ruas_141","hamayung - hakurung dalam",true,"alias","Hamayung - Hakurung Dalam",""
"Bamban Tengah - Lok Nyiur","ruas_142","bamban tengah - lok nyiur",true,"direct","Bamban Tengah - Lok Nyiur",""
"Mawangi - Pariangan","ruas_143","mawangi - pariangan",true,"direct","Mawangi - Pariangan",""
"Wasah Hulu - Amparaya - Simpur","ruas_144","wasah hulu - amparaya - simpur",true,"direct","Wasah Hulu - Amparaya - Simpur",""
"Banyu Barau - Sungai Kalang","ruas_145","banyu barau - sei kalang",true,"te_local_alias","Banyu Barau - Sei Kalang",""
"Jl. Amawang Kanan - Wasah Hulu","ruas_146","amawang kanan - wasah hulu",true,"direct","Amawang Kanan - Wasah Hulu",""
"Sungai Paring - Sei Hanyar Pantai Ulin","ruas_147","sungai paring - sei hanyar pantai ulin",true,"direct","Sungai Paring - Sei Hanyar Pantai Ulin",""
"SP.3 Baluti - Amawang","ruas_148","sp 3 baluti - amawang",true,"direct","Sp. 3 Baluti - Amawang",""
"Jl. Nusa Indah","ruas_149","nusa indah",true,"direct","Nusa Indah",""
"Hamak Timur - Umpaya","ruas_150","hamak timur - umpaya",true,"direct","Hamak Timur - Umpaya",""
"Jl. Jafri Zamzam","ruas_151","jafri zamzam",true,"direct","Jafri Zamzam",""
"Jl. Bago Tanggul - Katilang - Teratai","ruas_152","bago tanggul - katilang - teratai",true,"direct","Bago Tanggul - Katilang - Teratai",""
"Gambah Luar - Sungai Kudung","ruas_153","gambah luar - sungai kudung",true,"direct","Gambah Luar - Sungai Kudung",""
"Mawangi - Bukuanin - Telaga Langsat","ruas_154","mawangi - bukuanin - telaga langsat",true,"direct","Mawangi - Bukuanin - Telaga Langsat",""
"Jl. Karang Intan - Tanah Bangkang","ruas_155","karang intan - tanah bangkang",true,"direct","Karang Intan - Tanah Bangkang",""
"Loksado - Loklahung","ruas_156","loksado - loklahung",true,"direct","Loksado - Loklahung",""
"Amawang Muka - Getek","ruas_157","amawang muka - getek",true,"direct","Amawang Muka - Getek",""
"Mandapai - Madang","ruas_158","mandapai - madang",true,"direct","Mandapai - Madang",""
"Ambarai - Madang","ruas_159","ambarai - madang",true,"direct","Ambarai - Madang",""
"Jl. DI. Panjaitan - Loklua","ruas_160","di panjaitan - loklua",true,"direct","DI. Panjaitan - Loklua",""
"Jl. Niagara (Ds. Halunuk) - Ayan","ruas_161","niagara desa halunuk - ayan",true,"direct","Niagara (Ds. Halunuk) - Ayan",""
"Jl. Soetoyo - Teluk Mesjid","ruas_162","soetoyo - teluk mesjid",true,"direct","Soetoyo - Teluk Mesjid",""
"Paharuangan - Sungai Raya Selatan","ruas_163","paharuangan - sei raya selatan",true,"te_local_alias","Paharuangan - Sei. Raya Selatan",""
"SP. Batang Kulur Kiri - Tatas","ruas_164","sp batang kulur kiri - tatas",true,"direct","Sp. Batang Kulur Kiri - Tatas",""
"Jl. Rahma Bahran","ruas_165","rahmah bahran",true,"alias","Rahmah Bahran",""
"Jl. Kamboja","ruas_166","kamboja",true,"direct","Kamboja",""
"Jl. Dahlia","ruas_167","dahlia",true,"direct","Dahlia",""
"Jl. KS. Tubun","ruas_168","ks tubun",true,"direct","KS. Tubun",""
"Jl. Pasar Kandangan - Oprit Jembatan Loklua","ruas_169","pasar kandangan - oprit jembt loklua",true,"te_local_alias","Pasar Kandangan - Oprit Jembt. Loklua",""
"Jl. Kesehatan - Komp. Rumah Dokter","ruas_170","kesehatan - komp rmh dokter",true,"alias","Kesehatan - Komp. Rmh Dokter",""
"Jl. Bina Bakat","ruas_171","bina bakat",true,"direct","Bina Bakat",""
"Jl. AES. Nasution","ruas_172","aes nasution",true,"direct","AES Nasution",""
"Sungai Paring - Toba","ruas_173","sungai paring - toba",true,"direct","Sungai Paring - Toba",""
"Tibung Raya - Asam Cangkok","ruas_174","tibung raya - asam cangkuk",true,"te_local_alias","Tibung Raya - Asam Cangkuk",""
"Muara Banta - Karang Jawa","ruas_175","muara banta - karang jawa",true,"direct","Muara Banta - Karang Jawa",""
"Jl. Mesjid Kuba","ruas_176","mesjid quba",true,"alias","Mesjid Quba",""
"Jl. RS. Hasan Basry II","ruas_177","rs hasan basry ii",true,"direct","RS. Hasan Basry II",""
"Bumi Berkat - Mungkur Galah","ruas_178","bumi berkat - mungkur galah",true,"direct","Bumi Berkat - Mungkur Galah",""
"Jl. Matang Gadung - Halalang","ruas_179","matang gadung - halalang",true,"direct","Matang Gadung - Halalang",""
"Asam Cangkuk - Telaga Bidadari","ruas_180","asam cangkuk - telaga bidadari",true,"direct","Asam Cangkuk - Telaga Bidadari",""
"Hamalau - Pahampangan","ruas_181","hamalau - pahampangan",true,"direct","Hamalau - Pahampangan",""
"Jl. Monumen 17 Mei - Mandapai","ruas_182","monumen 17 mei - mandapai",true,"direct","Monumen 17 Mei - Mandapai",""
"Halunuk - Riam Tajam/Talo - Hamak Umpaya","ruas_183","halunuk - riam tajam talo - hamak umpaya",true,"direct","Halunuk - Riam Tajam/Talo - Hamak Umpaya",""
"Tawia - Kayu Abang","ruas_184","tawia - kayu abang",true,"direct","Tawia - Kayu Abang",""
"Jl.Panggang Hijau - DsTawar","ruas_185","panggang hijau - desa tawar",true,"alias","Panggang Hijau - Ds. Tawar",""
"Bamban Selatan - Tangang - Panggang Hijau","ruas_186","bamban selatan - tanggang - panggang hijau",true,"te_local_alias","Bamban Selatan - Tanggang - Panggang Hijau",""
"Jl. Tembok Kacil. Sei. Kudung","ruas_187","tembok kacil sei kudung",true,"direct","Tembok Kacil. Sei. Kudung",""
"Jl. Pantai Langsat - Umpaya","ruas_188","pantai langsat - umpaya",true,"direct","Pantai Langsat - Umpaya",""
"Garunggang - Hantamangu","ruas_189","garunggang - hantamangu",true,"direct","Garunggang - Hantamangu",""
"Jl. KH. Ramli","ruas_190","kh ramli - desa amparaya",true,"alias","KH. Ramli - DS. Amparaya",""
"Jl. Habib","ruas_191","habib",true,"direct","Habib",""
"Jl. Gerilya / (Depan Pustu Habirau)","ruas_192","gerilya depan pustu habirau",true,"direct","Gerilya / (Depan PUSTU Habirau)",""
"Jl. Kantor Camat Daha Selatan II","ruas_193","kantor camat daha selatan ii",true,"direct","Kantor Camat Daha Selatan II",""
"Jl. Banua Hanyar - Tanjung Selor","ruas_194","banua hanyar - desa tanjung selor",true,"alias","Banua Hanyar - Ds. Tanjung Selor",""
"Jl. Tanjung Selor - Ds. Badaun","ruas_195","tanjung selor - desa badaun",true,"direct","Tanjung Selor - Ds. Badaun",""
"Jl. Musyawarah","ruas_196","musyawarah nagara",true,"manual_ref_alias","Musyawarah (Nagara)",""
"Jl. Muning Tengah - Batang Alai (Pihanin Raya)","ruas_197","muning tengah - batang alai pihanin raya",true,"direct","Muning Tengah - Batang Alai (Pihanin Raya)",""
"Jl. Pesantren Muradiyah","ruas_198","pesantren muradiyah",true,"direct","Pesantren Muradiyah",""
"Jl. Paramaian","ruas_199","paramaian",true,"direct","Paramaian",""
"Teluk haur I","ruas_200","teluk haur i",true,"direct","Teluk Haur I",""
"Teluk Haur II","ruas_201","teluk haur ii",true,"direct","Teluk Haur II",""
"Jl. Kenanga - Ds. Baruh Kambang","ruas_202","kenanga - desa baruh kambang",true,"direct","Kenanga - Ds. Baruh Kambang",""
"Jl. SMAN Negara (KH. Abdullah)","ruas_203","sman negara kh abdullah",true,"direct","SMAN Negara (KH. Abdullah)",""
"Jl. Bayampah - Tanuhi - Tugu Niih","ruas_204","bayampah - tanuhi - tugu niih",true,"direct","Bayampah - Tanuhi - Tugu Niih",""
"Jl. Kantor Camat Loksado II","ruas_205","kantor camat loksado ii",true,"direct","Kantor Camat Loksado II",""
"Loklahung - Kamawakan","ruas_206","loklahung - kamawakan",true,"direct","Loklahung - Kamawakan",""
"Malinau - Katingin - Kamawakan","ruas_207","malinau - katingin - kamawakan",true,"direct","Malinau - Katingin - Kamawakan",""
"Tibung Dalam - Teratai","ruas_208","tibung dalam - teratai",true,"direct","Tibung Dalam - Teratai",""
"Malilingin - Muara Hariang","ruas_209","malilingin - muara hariang",true,"direct","Malilingin - Muara Hariang",""
"Malaris - Loapanggang","ruas_210","malaris - loapanggang",true,"direct","Malaris - Loapanggang",""
"Jl. Tanah Bangkang Menuju Balai Benih Ikan","ruas_211","tanah bangkang menuju balai benih ikan",true,"direct","Tanah Bangkang Menuju Balai Benih Ikan",""
"Jl. Pandan Sari","ruas_212","pandan sari - desa angkinang",true,"manual_alias","Pandan Sari - Ds. Angkinang",""
"Taniran Selatan Kubah - Buntut Taniran/Wawaran","ruas_213","taniran selatan kubah - buntut taniran wawaran",true,"direct","Taniran Selatan Kubah - Buntut Taniran / Wawaran",""
"Simpang Hamalau - Teluk Pinang","ruas_214","simpang hamalau - teluk pinang",true,"direct","Simpang Hamalau - Teluk Pinang",""
"Simp. Bakarung Selatan - Sungai Kudung","ruas_215","sp bakarung selatan - sungai kudung",true,"te_local_alias","Sp. Bakarung Selatan - Sungai Kudung",""
"Jl. Bangga TMMD","ruas_216","bangga tmmd",true,"direct","Bangga TMMD",""
"Sirih - Pacakan","ruas_217","sirih - pacakan",true,"direct","Sirih - Pacakan",""
"Jl. Kalumpang Selatan - Ds. Asam Tamiyang","ruas_218","kalumpang selatan - desa asam tamiyang",true,"direct","Kalumpang Selatan - Ds. Asam Tamiyang",""
"Simpang Malutu - Pahampangan","ruas_219","simpang malutu - pahampangan",true,"direct","Simpang Malutu - Pahampangan",""
"Jl. Pendawa - Ds. Tebing Tinggi","ruas_220","pendawa - desa tebing tinggi",true,"direct","Pendawa - Ds. Tebing Tinggi",""
"Jl. Tanginau - Balai Haruyan","ruas_221","tanginau - balai haruyan",true,"direct","Tanginau - Balai Haruyan",""
"Jl. Gang Bidan (Ds. Tambak Bitin)","ruas_222","gang bidan desa tambak bitin",true,"direct","Gang Bidan (Ds. Tambak Bitin)",""
"Jl. Sukaramai - Keramat","ruas_223","sukaramai - keramat",true,"direct","Sukaramai - Keramat",""
"Bayanan - Habirau Tengah","ruas_224","bayanan - habirau tengah",true,"direct","Bayanan - Habirau Tengah",""
"Hulu Banyu - Datar Mangkung -Tumingki","ruas_225","hulu banyu - datar mangkung - tumingki",true,"direct","Hulu Banyu - Datar Mangkung - Tumingki",""
"Jl. Makam Habib Ds. Lumpangi","ruas_226","makam habib - desa lumpangi",true,"alias","Makam Habib - Desa Lumpangi",""
