appendix_name,scenario_id,model,score_type,rank,export_rank,road_key,nama_ruas,nomor_ruas,desa_yang_dilalui,kecamatan_yang_dilalui,score,pred_prob,final_score,base_prob,rerank_score,planned_any_2026,planned_teknokratis_2026,planned_tender_2026,planned_pl_2026,is_top35,is_top70,is_top105
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,30,30,samping bappeda - mesjid darul halik,samping bappeda – mesjid darul halik,,,,0.7758142857142858,,,,,,,,,1,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,31,31,angkinang - telaga langsat,angkinang – telaga langsat,,,,0.7748428571428572,,,,,,,,,1,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,32,32,malinau - katingin - kamawakan,Malinau - Katingin - Kamawakan,,,,0.7747571428571428,,,,,0,1,0,0,1,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,33,33,hamalau - anjiran,Hamalau - Anjiran,,,,0.772957142857143,,,,,0,0,0,0,1,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,34,34,singakarsa - palas,singakarsa – palas,,,,0.7677571428571429,,,,,,,,,1,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,35,35,sei raya - jambu hulu paku,sei raya – jambu hulu paku,,,,0.7656000000000001,,,,,,,,,1,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,36,36,hulu banyu - datar mangkung - tumingki,hulu banyu – datar mangkung – tumingki,,,,0.7645000000000001,,,,,,,,,0,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,37,37,hamalau - telaga bidadari - wasah hilir,hamalau – telaga bidadari – wasah hilir,,,,0.7630714285714286,,,,,,,,,0,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,38,38,hamalau - ganda,Hamalau - Ganda,,,,0.7628142857142858,,,,,0,0,0,0,0,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,39,39,mandapai - madang,mandapai – madang,,,,0.7607285714285714,,,,,,,,,0,1,1
TEK_Top35_XGB_rerank_full,refined_rerank_teknokratis2026,XGBoost,rerank,40,40,loklahung - malaris,loklahung – malaris,,,,0.7540428571428572,,,,,,,,,0,1,1
