;;  ;
No. Mata;Uraian;Satuan; Harga 
Pembayaran;;; Satuan 
;;; (Rupiah) 
A;b;c; e 
;;;
2.3.(10);Gorong-gorong Pipa Baja Bergelombang;Ton; 20.579.043,61 
2.3.(11);Gorong-gorong Kotak Beton Bertulang, ukuran dalam 40 cm x 40 cm;M1; 1.602.159,88 
2.3.(12);Gorong-gorong Kotak Beton Bertulang, ukuran dalam 50 cm x 50 cm;M1; 1.898.612,43 
2.3.(12).v2;Gorong-gorong Kotak Beton Bertulang, ukuran dalam 50 cm x 50 cm (Variasi 2);M1; 3.063.384,94 
2.3.(13);Gorong-gorong Kotak Beton Bertulang, ukuran dalam 60 cm x 60 cm;M1; 1.959.879,32 
2.3.(13) v2;Gorong-gorong Kotak Beton Bertulang, ukuran dalam 60 cm x 60 cm dengan Precast dan Lean Concrete;M1; 2.071.893,73 
2.3.(14);Gorong-gorong Kotak Beton Bertulang, ukuran dalam 80 cm x 80 cm;M1; 2.512.164,32 
2.3.(14) v2;Gorong-gorong Kotak Beton Bertulang, ukuran dalam 80 cm x 80 cm dengan Precast dan Lean Concrete;M1; 3.120.717,55 
2.3.(15);Gorong-gorong Kotak Beton Bertulang, ukuran dalam 100 cm x 100 cm;M1; 3.569.291,89 
2.3.(15) v2;Gorong-gorong Kotak Beton Bertulang, ukuran dalam 100 cm x 100 cm (Variasi 2);M1; 4.778.774,56 
2.3.(16);Gorong-gorong Kotak Beton Bertulang, ukuran dalam 120 cm x 120 cm;M1; 4.208.723,73 
2.3.(17);Gorong-gorong Kotak Beton Bertulang, ukuran dalam 140 cm x 140 cm;M1; 5.827.769,30 
2.3.(18);Gorong-gorong Kotak Beton Bertulang, ukuran dalam 150 cm x 150 cm;M1; 6.069.296,66 
2.3.(18) v2;Gorong-gorong Kotak Beton Bertulang, ukuran dalam 150 cm x 150 cm dengan Precast dan Lean Concrete;M1; 8.222.243,95 
2.3.(19);Gorong-gorong Kotak Beton Bertulang, ukuran dalam 160 cm x 160 cm;M1; 7.369.290,36 
2.3.(20);Gorong-gorong Kotak Beton Bertulang, ukuran dalam 180 cm x 180 cm;M1; 8.332.314,26 
2.3.(21);Gorong-gorong Kotak Beton Bertulang, ukuran dalam 200 cm x 200 cm;M1; 9.234.568,77 
2.3.(21) v2;Gorong-gorong Kotak Beton Bertulang, ukuran dalam 200 cm x 200 cm dengan Precast dan Lean Concrete;M1; 17.411.290,43 
SKh-1.2.3.(21b);Gorong-gorong Kotak Beton Bertulang, ukuran dalam 300 cm x300 cm;M1; 42.606.516,44 
2.3.(22);Saluran berbentuk U Tipe DS 1;M1; 832.125,73 
2.3.(22) v2;Saluran berbentuk U Tipe DS 1 dengan Precast;M1; 910.702,33 
2.3.(23);Saluran berbentuk U Tipe DS 1a (dengan tutup);M1; 1.147.780,10 
2.3.(24);Saluran berbentuk U Tipe DS 2;M1; 968.687,70 
2.3.(24) v2;Saluran berbentuk U Tipe DS 2 dengan Precast;M1; 1.061.444,66 
2.3.(25);Saluran berbentuk U Tipe DS 2a (dengan tutup);M1; 1.321.964,94 
2.3.(26);Saluran berbentuk U Tipe DS 3;M1; 1.021.453,24 
2.3.(26) v2;Saluran berbentuk U Tipe DS 3 dengan Precast;M1; 2.410.837,15 
2.3.(27);Saluran berbentuk U Tipe DS 3a (dengan tutup);M1; 1.416.390,60 
2.3.(28);Saluran berbentuk U Tipe DS 4;M1; 1.127.548,26 
2.3.(28) v2;Saluran berbentuk U Tipe DS 4 dengan Precast;M1; 1.741.261,27 
2.3.(29);Saluran berbentuk U Tipe DS 4a (dengan tutup);M1; 1.609.984,72 
2.3.(30);Saluran berbentuk U Tipe DS 5;M1; 1.233.643,28 
2.3.(30) v2;Saluran berbentuk U Tipe DS 5 dengan Precast;M1; 2.282.045,26 
2.3.(31);Saluran berbentuk U Tipe DS 5a (dengan tutup);M1; 1.813.110,40 
2.3.(31) v2;Saluran berbentuk U Tipe DS 5a (dengan tutup) Precast;M1; 3.145.219,60 
2.3.(32);Saluran berbentuk U Tipe DS 6;M1; 1.923.043,94 
2.3.(33);Saluran berbentuk U Tipe DS 6a (dengan tutup);M1; 2.588.833,72 
2.3.(34);Pasangan Batu tanpa Adukan (Aanstamping) ;M3; 2.894.365,93 
2.4.(1);Bahan Drainase Porous atau Penyaring (Filter);M3; 724.351,24 
2.4.(2);Pipa Berlubang Banyak (Perforated Pipe) untuk Pekerjaan Drainase Bawah Permukaan, diameter 4 inch;M1; 164.986,67 
2.4.(3);Pipa Berlubang Banyak (Perforated Pipe) untuk Pekerjaan Drainase Bawah Permukaan, diameter 5 inch;M1; 158.075,17 
2.4.(4);Pipa Berlubang Banyak (Perforated Pipe) untuk Pekerjaan Drainase Bawah Permukaan, diameter 6 inch;M1; 196.784,17 
2.4.(5);Pipa Berlubang Banyak (Perforated Pipe) untuk Pekerjaan Drainase Bawah Permukaan, diameter 8 inch;M1; 234.906,67 
;;;
;;;
;;;
;;;
;;;
;DIVISI  3.  PEKERJAAN  TANAH DAN GEOSINTETIK;;
3.1.(1);Galian Biasa;M3; 66.704,00 
3.1.(2);Galian Batu Lunak;M3; 44.597,32 
3.1.(3);Galian Batu;M3; 252.146,76 
3.1.(4);Galian Struktur dengan kedalaman 0 - 2 meter;M3; 727.897,54 
3.1.(5);Galian Struktur dengan kedalaman 2 - 4 meter;M3; 663.507,80 
3.1.(6);Galian Struktur dengan kedalaman 4 - 6 meter;M3; 604.180,98 
3.1.(7);Galian Perkerasan Beraspal dengan Cold Milling Machine;M3; 634.306,82 
3.1.(8);Galian Perkerasan Beraspal tanpa Cold Milling Machine;M3; 560.203,95 
3.1.(8).(v2);Galian Perkerasan Aspal tanpa Cold Milling Machine (Variasi 2) ;M3; 399.878,80 
3.1.(9);Galian Perkerasan berbutir;M3; 57.739,98 
3.1.(10).;Galian Perkerasan Beton;M3; 626.741,02 
3.2.(1a);Timbunan Biasa dari sumber galian;M3; 372.899,99 
3.2.(1b);Timbunan Biasa dari hasil galian;M3; 121.338,31 
3.2.(2a);Timbunan Pilihan dari sumber galian;M3; 606.597,02 
3.2.(2b);Timbunan Pilihan dari galian;M3; 130.739,07 
3.2.(3a);Timbunan Pilihan (diukur diatas bak truk);M3; 585.557,88 
3.2.(3b);Timbunan Pilihan (diukur dengan rod & plate);M3; 869.790,42 
3.2.(4);Penimbunan Kembali Berbutir (Granular Backfill);M3; 637.730,74 
3.3.(1);Penyiapan Badan Jalan;M2; 3.682,92 
3.4.(1);Pembersihan dan Pengupasan Lahan ;M2; 11.908,68 
3.4.(2);Pemotongan Pohon Pilihan diameter 15 – 30 cm;buah; 142.308,82 
3.4.(3);Pemotongan Pohon Pilihan diameter > 30 – 50 cm;buah; 191.255,67 
3.4.(4);Pemotongan Pohon Pilihan diameter > 50 – 75 cm;buah; 285.404,87 
3.4.(5);Pemotongan Pohon Pilihan diameter > 75 cm;buah; 460.637,05 
3.5.(1);Geotekstil Filter untuk Drainage Bawah Permukaan (Kelas 2);M2; 102.889,87 
3.5.(2a);Geotekstil Separator Kelas 1;M2; 29.934,58 
3.5.(2b);Geotekstil Separator Kelas 2;M2; 29.934,58 
3.5.(2c);Geotekstil Separator Kelas 3;M2; 29.934,58 
