dd2_row_index,dd2_road_name_raw,dd2_normalized_key,canonical_road_name,canonical_road_key,match_method,confidence_or_reason,notes
206,Wasah Hulu - Amparaya - Simpur,wasah hulu - amparaya - simpur,Wasah Hulu - Amparaya - Simpur,wasah hulu - amparaya - simpur,direct,,
207,Wasah Hilir - Sarang Halang,wasah hilir - sarang halang,Wasah Hilir - Sarang Halang,wasah hilir - sarang halang,direct,,
208,Simpur - Simp. Bilui,simpur - simp bilui,Simpur - Simp. Bilui,simpur - simp bilui,direct,,
209,Simpur - Sp. 3 Muara Paring Agung,simpur - sp 3 muara paring agung,Simpur - Sp. 3 Muara Paring Agung,simpur - sp 3 muara paring agung,direct,,
210,Wasah Tengah - Sungai Tarap,wasah tengah - sei tarap,Wasah Tengah - Sungai Tarap,wasah tengah - sei tarap,direct,,
211,Wasah Hilir - Amparaya,wasah hilir - amparaya,Wasah Hilir - Amparaya,wasah hilir - amparaya,direct,,
212,Panjampang  Bahagia - Bayur,panjampang bahagia - bayur,Panjampang  Bahagia - Bayur,panjampang bahagia - bayur,direct,,
213,Ulin - Tanggul (Balai Mas),ulin - tanggul balai mas,Ulin - Tanggul (Balai Mas),ulin - tanggul balai mas,direct,,
214,Panjampang Bahagia - Hanau,panjampang bahagia - hanau,Panjampang Bahagia - Hanau,panjampang bahagia - hanau,direct,,
215,Jl. Halaban,halaban,Halaban,halaban,direct,,
216,Amparaya - Karangan - Hanau,amparaya - karangan - hanau,Amparaya - Karangan - Hanau,amparaya - karangan - hanau,direct,,
217,Jl. Kalimput Desa Wasah Hilir,kalimput desa wasah hilir,Kalimput Desa Wasah Hilir,kalimput desa wasah hilir,direct,,
218,Jl. Sungai Kacil I - Kapuh Padang,sei kacil i - kapuh padang,Sungai Kacil I - Kapuh Padang,sei kacil i - kapuh padang,direct,,
219,Jl. Sungai Kacil II,sei kacil ii,Sungai Kacil II,sei kacil ii,direct,,
220,Jl. Papagaran - Ds. Amawang Kanan,papagaran - desa amawang kanan,Papagaran - Ds. Amawang Kanan,papagaran - desa amawang kanan,direct,,
221,Balaimas - Hanau,balaimas - hanau,Balaimas - Hanau,balaimas - hanau,direct,,
222,Garunggang - Hantamangu,garunggang - hantamangu,Garunggang - Hantamangu,garunggang - hantamangu,direct,,
223,Jl. KH. Ramli - DS. Amparaya,kh ramli - desa amparaya,KH. Ramli - DS. Amparaya,kh ramli - desa amparaya,direct,,
224,Jl. Tungkaran - Ds. Ulin,tungkaran - desa ulin,Tungkaran - Ds. Ulin,tungkaran - desa ulin,direct,,
225,Jl. Mondar (Ulin-Pantai Ulin) - Ds. Ulin,mondar ulin - pantai ulin - desa ulin,Mondar (Ulin-Pantai Ulin) - Ds. Ulin,mondar ulin - pantai ulin - desa ulin,direct,,
226,Jl. Pendawa - Ds. Tebing Tinggi,pendawa - desa tebing tinggi,Pendawa - Ds. Tebing Tinggi,pendawa - desa tebing tinggi,direct,,
227,Jl. Mangamol - Ds. Pantai Ulin,mangamol - desa pantai ulin,Mangamol - Ds. Pantai Ulin,mangamol - desa pantai ulin,direct,,
228,Jl. Guru H. Izim - Ds. Pantai Ulin,guru h izim - desa pantai ulin,Guru H. Izim - Ds. Pantai Ulin,guru h izim - desa pantai ulin,direct,,
229,Jl. Rawati - Ds. Panjampang Bahagia,rawati - desa panjampang bahagia,Rawati - Ds. Panjampang Bahagia,rawati - desa panjampang bahagia,direct,,
230,Jl. Pianggu,pianggu,Pianggu,pianggu,direct,,
231,Jl. Buluh - Ds. Tebing Tinggi,buluh - desa tebing tinggi,Buluh - Ds. Tebing Tinggi,buluh - desa tebing tinggi,direct,,
232,Jl. H. Saim Garunggang - Kalimput,h saim garunggang - kalimput,H. Saim Garunggang - Kalimput,h saim garunggang - kalimput,direct,,
233,Jl. Padang Haur - Ds. Wasah Tengah,padang haur - desa wasah tengah,Padang Haur - Ds. Wasah Tengah,padang haur - desa wasah tengah,direct,,
234,Jl. Gerilya - Ds. Simpur,gerilya - desa simpur,Gerilya - Ds. Simpur,gerilya - desa simpur,direct,,
235,Jl. Jangkang - Ds. Wasah Hilir,jangkang - desa wasah hilir,Jangkang - Ds. Wasah Hilir,jangkang - desa wasah hilir,direct,,
236,Jl. Air Miris - Ds. Wasah Hilir,air miris - desa wasah hilir,Air Miris - Ds. Wasah Hilir,air miris - desa wasah hilir,direct,,
237,Jl. Tandik - Ds. Wasah Hilir,tandik - desa wasah hilir,Tandik - Ds. Wasah Hilir,tandik - desa wasah hilir,direct,,
238,Jl. Ds. Kapuh Tengah (Jl. Menuju Majelis Talim),desa kapuh tengah menuju majelis talim,Ds. Kapuh Tengah (Menuju Majelis Talim),desa kapuh tengah menuju majelis talim,direct,,
239,Jl. Karampaci - Ds. Kapuh,karampaci - desa kapuh,Karampaci - Ds. Kapuh,karampaci - desa kapuh,direct,,
240,Jl. At-Taubah - Ds. Kapuh,at - taubah - desa kapuh,At-Taubah - Ds. Kapuh,at - taubah - desa kapuh,direct,,
241,Jl. Firdaus - Ds. Kapuh,firdaus - desa kapuh,Firdaus - Ds. Kapuh,firdaus - desa kapuh,direct,,
242,Jl. Slasa Garih - Ds. Kapuh,slasa garih - desa kapuh,Slasa Garih - Ds. Kapuh,slasa garih - desa kapuh,direct,,
243,Jl. Palas - Ds. Wasah Tengah,palas - desa wasah tengah,Palas - Ds. Wasah Tengah,palas - desa wasah tengah,direct,,
244,Jl. Tanah Habang - Ds. Simpur,tanah habang - desa simpur,Tanah Habang - Ds. Simpur,tanah habang - desa simpur,direct,,
245,Jl. Banua Kambang - Ds. Wasah Tengah,banua kambang - desa wasah tengah,Banua Kambang - Ds. Wasah Tengah,banua kambang - desa wasah tengah,direct,,
246,Jl. Pajah Api - Ds. Kapuh,pajah api - desa kapuh,Pajah Api - Ds. Kapuh,pajah api - desa kapuh,direct,,
247,Jl. Talapak Manuk - Ds. Kapuh,talapak manuk - desa kapuh,Talapak Manuk - Ds. Kapuh,talapak manuk - desa kapuh,direct,,
248,Sirih - Taro,sirih - taro,Sirih - Taro,sirih - taro,direct,,
249,Kalumpang - Balimau,kalumpang - balimau,Kalumpang - Balimau,kalumpang - balimau,direct,,
250,Kalumpang (Ds. Balanti) - Teratai,kalumpang desa balanti - teratai,Kalumpang (Ds. Balanti) - Teratai,kalumpang desa balanti - teratai,direct,,
251,Bago Tanggul - Katilang - Teratai,bago tanggul - katilang - teratai,Bago Tanggul - Katilang - Teratai,bago tanggul - katilang - teratai,direct,,
252,Binjai (Sirih Hulu) - Ds. Seranggan,binjai sirih hulu - desa seranggan,Binjai (Sirih Hulu) - Ds. Seranggan,binjai sirih hulu - desa seranggan,direct,,
253,Balanti - (Ex. P3DT),balanti - p3dt,Balanti - (Ex. P3DT),balanti - p3dt,direct,,
254,Kalumpang - Baruh,kalumpang - baruh,Kalumpang - Baruh,kalumpang - baruh,direct,,
255,Sirih - Pacakan,sirih - pacakan,Sirih - Pacakan,sirih - pacakan,direct,,
256,SP.4 Mesjid Sirih - Sarang Nyamuk - Asam Tamiyang,sp 4 mesjid sirih - sarang nyamuk - asam tamiyang,SP.4 Mesjid Sirih - Sarang Nyamuk - Asam Tamiyang,sp 4 mesjid sirih - sarang nyamuk - asam tamiyang,direct,,
257,Kalumpang Selatan - Ds. Asam Tamiyang,kalumpang selatan - desa asam tamiyang,Kalumpang Selatan - Ds. Asam Tamiyang,kalumpang selatan - desa asam tamiyang,direct,,
258,Balimau - Murung Dalam,balimau - murung dalam,Balimau - Murung Dalam,balimau - murung dalam,direct,,
259,Jl. Karya Bakti - Ds. Balimau,karya bakti - desa balimau,Karya Bakti - Ds. Balimau,karya bakti - desa balimau,direct,,
260,Tanuhi - Ulang,tanuhi - ulang,Tanuhi - Ulang,tanuhi - ulang,direct,,
261,Loksado - Loklahung,loksado - loklahung,Loksado - Loklahung,loksado - loklahung,direct,,
262,Loksado - Haratai,loksado - haratai,Loksado - Haratai,loksado - haratai,direct,,
263,Loklahung - Kamawakan,loklahung - kamawakan,Loklahung - Kamawakan,loklahung - kamawakan,direct,,
264,Jl. Niagara (Ds. Halunuk) - Ayan,niagara desa halunuk - ayan,Niagara (Ds. Halunuk) - Ayan,niagara desa halunuk - ayan,direct,,
265,Malinau - Katingin - Kamawakan,malinau - katingin - kamawakan,Malinau - Katingin - Kamawakan,malinau - katingin - kamawakan,direct,,
266,Loklahung - Malaris,loklahung - malaris,Loklahung - Malaris,loklahung - malaris,direct,,
267,Jl. Bubuih - Ds. Halunuk,bubuih - desa halunuk,Bubuih - Ds. Halunuk,bubuih - desa halunuk,direct,,
268,Halunuk - Riam Tajam/Talo - Hamak Umpaya,halunuk - riam tajam talo - hamak umpaya,Halunuk - Riam Tajam/Talo - Hamak Umpaya,halunuk - riam tajam talo - hamak umpaya,direct,,
269,Jl. Muara Kitar - Desa Lumpangi,muara kitar - desa lumpangi,Muara Kitar - Desa Lumpangi,muara kitar - desa lumpangi,direct,,
270,Jl. Hulu Banyu - Pantai Langsat,hulu banyu - pantai langsat,Hulu Banyu - Pantai Langsat,hulu banyu - pantai langsat,direct,,
271,Jl. Bayampah - Tanuhi - Tugu Niih,bayampah - tanuhi - tugu niih,Bayampah - Tanuhi - Tugu Niih,bayampah - tanuhi - tugu niih,direct,,
272,Jl. Kantor Camat Loksado II,kantor camat loksado ii,Kantor Camat Loksado II,kantor camat loksado ii,direct,,
273,Jl. Buntu Muara Hatib - Bts. Kab. HST,buntu muara hatib - bts kab hst,Buntu Muara Hatib - Bts. Kab. HST,buntu muara hatib - bts kab hst,direct,,
274,Tanuhi - Hulu Banyu,tanuhi - hulu banyu,Tanuhi - Hulu Banyu,tanuhi - hulu banyu,direct,,
275,Hulu Banyu - Datar Mangkung - Tumingki,hulu banyu - datar mangkung - tumingki,Hulu Banyu - Datar Mangkung - Tumingki,hulu banyu - datar mangkung - tumingki,direct,,
276,Lambuk - Ds. Tumingki,lambuk - desa tumingki,Lambuk - Ds. Tumingki,lambuk - desa tumingki,direct,,
277,Malaris - Loapanggang,malaris - loapanggang,Malaris - Loapanggang,malaris - loapanggang,direct,,
278,Jl. Haratai 3 (Balai Kedayang) / SDN Haratai 3,haratai 3 balai kedayang sdn haratai 3,Haratai 3 (Balai Kedayang) / SDN Haratai 3,haratai 3 balai kedayang sdn haratai 3,direct,,
279,Jl. Haratai 2 (Balai Ujung Atas) SDN Haratai2,haratai 2 balai ujung atas sdn haratai2,Haratai 2 (Balai Ujung Atas) SDN Haratai2,haratai 2 balai ujung atas sdn haratai2,direct,,
280,Jl. Bubuih (Ds. Halunuk) - Kandihin,bubuih desa halunuk - kandihin,Bubuih (Ds. Halunuk) - Kandihin,bubuih desa halunuk - kandihin,direct,,
281,Jl. Makam Habib - Desa Lumpangi,makam habib - desa lumpangi,Makam Habib - Desa Lumpangi,makam habib - desa lumpangi,direct,,
282,Jl. Datar Belimbing - Muara Kitar,datar belimbing - muara kitar,Datar Belimbing - Muara Kitar,datar belimbing - muara kitar,direct,,
283,Jl. Tanginau - Balai Haruyan,tanginau - balai haruyan,Tanginau - Balai Haruyan,tanginau - balai haruyan,direct,,
284,Jl. Tataian - (Ds. Ulang) - Loksado,tataian - desa ulang - loksado,Tataian - (Ds. Ulang) - Loksado,tataian - desa ulang - loksado,direct,,
285,Jl. Ulang - Kacang Parang,ulang - kacang parang,Ulang - Kacang Parang,ulang - kacang parang,direct,,
286,Jl. Kacang Parang (Ulang) - Balai Mawak-Kias,kacang parang ulang - balai mawak - kias,Kacang Parang (Ulang) - Balai Mawak-Kias,kacang parang ulang - balai mawak - kias,direct,,
287,Jl. Kacang Parang (Ulang) - Balai Wariung,kacang parang ulang - balai wariung,Kacang Parang (Ulang) - Balai Wariung,kacang parang ulang - balai wariung,direct,,
288,Jl. Loksado - Pantai Dusin,loksado - pantai dusin,Loksado - Pantai Dusin,loksado - pantai dusin,direct,,
289,Jl. Malinau - Kandihin,malinau - kandihin,Malinau - Kandihin,malinau - kandihin,direct,,
290,Jl. Ulang - Bangkaun,ulang - bangkaun,Ulang - Bangkaun,ulang - bangkaun,direct,,
291,Bayanan - Habirau Tengah,bayanan - habirau tengah,Bayanan - Habirau Tengah,bayanan - habirau tengah,direct,,
292,Tumbukan Banyu - Banua Hanyar,tumbukan banyu - banua hanyar,Tumbukan Banyu - Banua Hanyar,tumbukan banyu - banua hanyar,direct,,
293,Jl. Satria ,satria,Satria,satria,direct,,
294,Jl. Musyawarah,musyawarah,Musyawarah (Nagara),musyawarah nagara,occurrence_specific_manual,"Found in block with kecamatan=Daha Selatan. Surrounded by: Jl. Malinau - Kandihin [Loksado], Jl. Ulang - Bangkaun [Loksado]...",
295,Jl. Sekolah Islam,sekolah islam,Sekolah Islam (Sungai Pinang),sekolah islam sei pinang,occurrence_specific_manual,"Found in block with kecamatan=Daha Selatan. Surrounded by: Jl. Ulang - Bangkaun [Loksado], Bayanan - Habirau Tengah [Daha Selatan]...",
296,Jl. Habib,habib,Habib,habib,direct,,
297,Jl. Mawar,mawar,Mawar (Daha Selatan),mawar daha selatan,occurrence_specific_manual,"Found in block with kecamatan=Daha Selatan. Surrounded by: Tumbukan Banyu - Banua Hanyar [Daha Selatan], Jl. Satria  [Daha Selatan]...",
298,Jl. Inst. PDAM Negara,inst pdam negara,Inst. PDAM Negara,inst pdam negara,direct,,
299,Jl. Gerilya / (Depan PUSTU Habirau),gerilya depan pustu habirau,Gerilya / (Depan PUSTU Habirau),gerilya depan pustu habirau,direct,,
300,Jl. Harapan (SDN Habirau II)/ Sei. Palangan,harapan sdn habirau ii sei palangan,Harapan (SDN Habirau II)/ Sei. Palangan,harapan sdn habirau ii sei palangan,direct,,
301,Samuda - Bajayau,samuda - bajayau,Samuda - Bajayau,samuda - bajayau,direct,,
302,Jl. Tambangan - Ds. Baruh Jaya,tambangan - desa baruh jaya,Tambangan - Ds. Baruh Jaya,tambangan - desa baruh jaya,direct,,
303,Muning Tengah - Batang Alai (Pihanin Raya),muning tengah - batang alai pihanin raya,Muning Tengah - Batang Alai (Pihanin Raya),muning tengah - batang alai pihanin raya,direct,,
304,Muning Tengah - Ds. Muning Dalam,muning tengah - desa muning dalam,Muning Tengah - Ds. Muning Dalam,muning tengah - desa muning dalam,direct,,
305,SP.4 Banjarbaru - Pasar Negara,sp 4 banjarbaru - pasar negara,SP.4 Banjarbaru - Pasar Negara,sp 4 banjarbaru - pasar negara,direct,,
306,Negara - Tumbukan Banyu,negara - tumbukan banyu,Negara - Tumbukan Banyu,negara - tumbukan banyu,direct,,
307,SP.4. Banjarbaru - Pihanin Raya,sp 4 banjarbaru - pihanin raya,SP.4. Banjarbaru - Pihanin Raya,sp 4 banjarbaru - pihanin raya,direct,,
308,Bayanan - Pihanin,bayanan - pihanin,Bayanan - Pihanin,bayanan - pihanin,direct,,
309,Jl. Kantor Camat Daha Selatan II,kantor camat daha selatan ii,Kantor Camat Daha Selatan II,kantor camat daha selatan ii,direct,,
310,Jl. Sungai Bugundi,sei bugundi,Sungai Bugundi,sei bugundi,direct,,
311,Jl. Tukang Garit (Tambangan),tukang garit tambangan,Tukang Garit (Tambangan),tukang garit tambangan,direct,,
312,Pandak Daun - Baruh Jaya - Samuda,pandak daun - baruh jaya - samuda,Pandak Daun - Baruh Jaya - Samuda,pandak daun - baruh jaya - samuda,direct,,
313,Sei. Mandala Murung Raya,sei mandala murung raya,Sei. Mandala Murung Raya,sei mandala murung raya,direct,,
314,Jl. Teluk Haur I,teluk haur i,Teluk Haur I,teluk haur i,direct,,
315,Jl. Teluk Haur II,teluk haur ii,Teluk Haur II,teluk haur ii,direct,,
316,Jl. H.M. Thaib,h m thaib,H.M. Thaib,h m thaib,direct,,
317,Jl. Kenanga - Ds. Baruh Kambang,kenanga - desa baruh kambang,Kenanga - Ds. Baruh Kambang,kenanga - desa baruh kambang,direct,,
318,Jl. SMAN Negara (KH. Abdullah),sman negara kh abdullah,SMAN Negara (KH. Abdullah),sman negara kh abdullah,direct,,
319,Jl. Pertukangan,pertukangan,Pertukangan,pertukangan,direct,,
320,Jl. Silaturrahim,silaturrahim,Silaturrahim,silaturrahim,direct,,
321,Jl. Habib Ibrahim - Ds. Sei Mandala,habib ibrahim - desa sei mandala,Habib Ibrahim - Ds. Sei Mandala,habib ibrahim - desa sei mandala,direct,,
322,Jl. Sukaramai - Keramat,sukaramai - keramat,Sukaramai - Keramat,sukaramai - keramat,direct,,
323,Jl. Pakan Dalam I,pakan dalam i,Pakan Dalam I,pakan dalam i,direct,,
324,Jl. Pakan Dalam II,pakan dalam ii,Pakan Dalam II,pakan dalam ii,direct,,
325,Jl. Pakan Dalam III,pakan dalam iii,Pakan Dalam III,pakan dalam iii,direct,,
326,Jl. Paramaian,paramaian,Paramaian,paramaian,direct,,
327,Jl. MIN Pandak Daun,min pandak daun,MIN Pandak Daun,min pandak daun,direct,,
328,Jl. Pesantren Muradiyah,pesantren muradiyah,Pesantren Muradiyah,pesantren muradiyah,direct,,
329,Pandak Daun (Buntut Muradiyah) - Pakan Dalam,pandak daun buntut muradiyah - pakan dalam,Pandak Daun (Buntut Muradiyah) - Pakan Dalam,pandak daun buntut muradiyah - pakan dalam,direct,,
330,Pakan Dalam - Kaminting Batu,pakan dalam - kaminting batu,Pakan Dalam - Kaminting Batu,pakan dalam - kaminting batu,direct,,
331,Jl. Samping Kantor Camat Daha Utara,samping kantor camat daha utara,Samping Kantor Camat Daha Utara,samping kantor camat daha utara,direct,,
332,Jl. Gang Bidan (Ds. Tambak Bitin),gang bidan desa tambak bitin,Gang Bidan (Ds. Tambak Bitin),gang bidan desa tambak bitin,direct,,
333,Jl. Cangkingan Herman,cangkingan herman,Cangkingan Herman,cangkingan herman,direct,,
334,Jl. Kampung Kawat,kampung kawat,Kampung Kawat,kampung kawat,direct,,
335,Jl. Kaminting Batu,kaminting batu,Kaminting Batu,kaminting batu,direct,,
336,Jl. Hamayung - Hakurung Dalam,hamayung - hakurung dalam,Hamayung - Hakurung Dalam,hamayung - hakurung dalam,direct,,
337,Simpang Jadi Makmur - Ds. Samuda,sp jadi makmur - desa samuda,Simpang Jadi Makmur - Ds. Samuda,sp jadi makmur - desa samuda,direct,,
338,Jl. Sakincung - Ds. Hakurung Dalam,sakincung - desa hakurung dalam,Sakincung - Ds. Hakurung Dalam,sakincung - desa hakurung dalam,direct,,
339,Jl. Hakurung Dalam - Ds. Sungai Haji,hakurung dalam - desa sei haji,Hakurung Dalam - Ds. Sungai Haji,hakurung dalam - desa sei haji,direct,,
340,Jl. Siang Gantung - Ds. Baru,siang gantung - desa baru,Siang Gantung - Ds. Baru,siang gantung - desa baru,direct,,
341,Jl. Baru - Ds. Bajayau,baru - desa bajayau,Baru - Ds. Bajayau,baru - desa bajayau,direct,,
342,Jl. Bajayau - Ds. Bajayau Tengah,bajayau - desa bajayau tengah,Bajayau - Ds. Bajayau Tengah,bajayau - desa bajayau tengah,direct,,
343,Jl. Banua Hanyar - Ds. Tanjung Selor,banua hanyar - desa tanjung selor,Banua Hanyar - Ds. Tanjung Selor,banua hanyar - desa tanjung selor,direct,,
344,Jl. Tanjung Selor - Ds. Badaun,tanjung selor - desa badaun,Tanjung Selor - Ds. Badaun,tanjung selor - desa badaun,direct,,
345,Jl. Badaun - Ds. Bjayau Lama,badaun - desa bjayau lama,Badaun - Ds. Bjayau Lama,badaun - desa bjayau lama,direct,,
346,Jl. Goha - Ds. Amawang Kanan,goha - desa amawang kanan,Goha - Ds. Amawang Kanan,goha - desa amawang kanan,direct,,
347,Jl. Al - Ikhlas - Ds. Baluti,al - ikhlas - desa baluti,Al - Ikhlas - Ds. Baluti,al - ikhlas - desa baluti,direct,,
348,Jl. Angkakai - Ds. Amawang Kiri,angkakai - desa amawang kiri,Angkakai - Ds. Amawang Kiri,angkakai - desa amawang kiri,direct,,
349,Jl. Anjiran Rantauan - Ds. Taniran Tengah,anjiran rantauan - desa taniran tengah,Anjiran Rantauan - Ds. Taniran Tengah,anjiran rantauan - desa taniran tengah,direct,,
350,Jl. Asam Duhat - Ds. Pantai Ulin,asam duhat - desa pantai ulin,Asam Duhat - Ds. Pantai Ulin,asam duhat - desa pantai ulin,direct,,
351,Jl. Pertanian - Ds. Wasah Tengah,pertanian - desa wasah tengah,Pertanian - Ds. Wasah Tengah,pertanian - desa wasah tengah,direct,,
352,Jl. Keramat Sakti - Ds. Tebing Tinggi,keramat sakti - desa tebing tinggi,Keramat Sakti - Ds. Tebing Tinggi,keramat sakti - desa tebing tinggi,direct,,
