nomor_ruas,nama_ruas_summary,nama_ruas_aggregate,mantap_summary_m,mantap_aggregate_m,tidak_mantap_summary_m,tidak_mantap_aggregate_m,status
238,Jl. At-Taubah - Ds. Kapuh,Jl. At-Taubah - Ds. Kapuh,470.0,470.0,0.0,0,ok
239,Jl. Firdaus - Ds. Kapuh,Jl. Firdaus - Ds. Kapuh,100.0,100.0,200.0,200.0,ok
240,Jl. Slasa Garih - Ds. Kapuh,Jl. Slasa Garih - Ds. Kapuh,500.0,500.0,0.0,0,ok
241,Jl. Palas - Ds. Wasah Tengah,Jl. Palas - Ds. Wasah Tengah,0.0,0,830.0,830.0,ok
242,Jl. Tanah Habang - Ds. Simpur,Jl. Tanah Habang - Ds. Simpur,0.0,0,1050.0,1050.0,ok
243,Jl. Banua Kambang - Ds. Wasah Tengah,Jl. Banua Kambang - Ds. Wasah Tengah,890.0,890.0,500.0,500.0,ok
244,Jl. Pajah Api - Ds. Kapuh,Jl. Pajah Api - Ds. Kapuh,340.0,340.0,0.0,0,ok
245,Jl. Talapak Manuk - Ds. Kapuh,Jl. Talapak Manuk - Ds. Kapuh,160.0,160.0,600.0,600.0,ok
246,Sirih - Taro,Sirih - Taro,1160.0,1160.0,100.0,100.0,ok
247,Kalumpang - Balimau,Kalumpang - Balimau,4910.0,4910.0,300.0,300.0,ok
248,Kalumpang (Ds. Balanti) - Teratai,Kalumpang (Ds. Balanti) - Teratai,0.0,0,5690.0,5690.0,ok
249,Bago Tanggul - Katilang - Teratai,Bago Tanggul - Katilang - Teratai,7300.0,7300.0,2410.0,2410.0,ok
250,Binjai (Sirih Hulu) - Ds. Seranggan,Binjai (Sirih Hulu) - Ds. Seranggan,2940.0,2940.0,1400.0,1400.0,ok
251,Balanti - (Ex. P3DT),Balanti - (Ex. P3DT),1660.0,1660.0,0.0,0,ok
252,Kalumpang - Baruh,Kalumpang - Baruh,2720.0,2720.0,0.0,0,ok
253,Sirih - Pacakan,Sirih - Pacakan,400.0,400.0,240.0,240.0,ok
254,SP.4 Mesjid Sirih - Sarang Nyamuk - Asam Tamiyang,SP.4 Mesjid Sirih - Sarang Nyamuk - Asam Tamiyang,3900.0,3900.0,2200.0,2200.0,ok
255,Kalumpang Selatan - Ds. Asam Tamiyang,Kalumpang Selatan - Ds. Asam Tamiyang,0.0,0,820.0,820.0,ok
256,Balimau - Murung Dalam,Balimau - Murung Dalam,0.0,0,1460.0,1460.0,ok
257,Jl. Karya Bakti - Ds. Balimau,Jl. Karya Bakti - Ds. Balimau,600.0,600.0,260.0,260.0,ok
258,Tanuhi - Ulang,Tanuhi - Ulang,5250.0,5250.0,2400.0,2400.0,ok
259,Loksado - Loklahung,Loksado - Loklahung,1080.0,1080.0,200.0,200.0,ok
260,Loksado - Haratai,Loksado - Haratai,570.0,570.0,6600.0,6600.0,ok
261,Loklahung - Kamawakan,Loklahung - Kamawakan,2520.0,2520.0,4300.0,4300.0,ok
262,Jl. Niagara (Ds. Halunuk) - Ayan,Jl. Niagara (Ds. Halunuk) - Ayan,560.0,560.0,1500.0,1500.0,ok
263,Malinau - Katingin - Kamawakan,Malinau - Katingin - Kamawakan,3300.0,3300.0,6160.0,6160.0,ok
264,Loklahung - Malaris,Loklahung - Malaris,210.0,210.0,600.0,600.0,ok
265,Jl. Bubuih - Ds. Halunuk,Jl. Bubuih - Ds. Halunuk,100.0,100.0,640.0,640.0,ok
266,Halunuk - Riam Tajam/Talo - Hamak Umpaya,Halunuk - Riam Tajam/Talo - Hamak Umpaya,4180.0,4180.0,3600.0,3600.0,ok
267,Jl. Muara Kitar - Desa Lumpangi,Jl. Muara Kitar - Desa Lumpangi,230.0,230.0,200.0,200.0,ok
268,Jl. Hulu Banyu - Pantai Langsat,Jl. Hulu Banyu - Pantai Langsat,1790.0,1790.0,0.0,0,ok
269,Jl. Bayampah - Tanuhi - Tugu Niih,Jl. Bayampah - Tanuhi - Tugu Niih,210.0,210.0,400.0,400.0,ok
270,Jl. Kantor Camat Loksado II,Jl. Kantor Camat Loksado II,120.0,120.0,0.0,0,ok
271,Jl. Buntu Muara Hatib - Bts. Kab. HST,Jl. Buntu Muara Hatib - Bts. Kab. HST,1060.0,1060.0,100.0,100.0,ok
272,Tanuhi - Hulu Banyu,Tanuhi - Hulu Banyu,200.0,200.0,460.0,460.0,ok
273,Hulu Banyu - Datar Mangkung - Tumingki,Hulu Banyu - Datar Mangkung - Tumingki,4700.0,4700.0,2300.0,2300.0,ok
274,Lambuk - Ds. Tumingki,Lambuk - Ds. Tumingki,0.0,0,670.0,670.0,ok
275,Malaris - Loapanggang,Malaris - Loapanggang,100.0,100.0,1480.0,1480.0,ok
276,Jl. Haratai 3 (Balai Kedayang) / SDN Haratai 3,Jl. Haratai 3 (Balai Kedayang) / SDN Haratai 3,2850.0,2850.0,2400.0,2400.0,ok
277,Jl. Haratai 2 (Balai Ujung Atas) SDN Haratai2,Jl. Haratai 2 (Balai Ujung Atas) SDN Haratai2,2100.0,2100.0,600.0,600.0,ok
278,Jl. Bubuih (Ds. Halunuk) - Kandihin,Jl. Bubuih (Ds. Halunuk) - Kandihin,0.0,0,2930.0,2930.0,ok
279,Jl. Makam Habib - Desa Lumpangi,Jl. Makam Habib - Desa Lumpangi,380.0,380.0,0.0,0,ok
280,Jl. Datar Belimbing - Muara Kitar,Jl. Datar Belimbing - Muara Kitar,2760.0,2760.0,2100.0,2100.0,ok
281,Jl. Tanginau - Balai Haruyan,Jl. Tanginau - Balai Haruyan,360.0,360.0,800.0,800.0,ok
282,Jl. Tataian - (Ds. Ulang) - Loksado,Jl. Tataian - (Ds. Ulang) - Loksado,300.0,300.0,100.0,100.0,ok
283,Jl. Ulang - Kacang Parang,Jl. Ulang - Kacang Parang,700.0,700.0,1050.0,1050.0,ok
284,Jl. Kacang Parang (Ulang) - Balai Mawak-Kias,Jl. Kacang Parang (Ulang) - Balai Mawak-Kias,1180.0,1180.0,900.0,900.0,ok
285,Jl. Kacang Parang (Ulang) - Balai Wariung,Jl. Kacang Parang (Ulang) - Balai Wariung,830.0,830.0,0.0,0,ok
286,Jl. Loksado - Pantai Dusin,Jl. Loksado - Pantai Dusin,2270.0,2270.0,0.0,0,ok
287,Jl. Malinau - Kandihin,Jl. Malinau - Kandihin,200.0,200.0,3960.0,3960.0,ok
288,Jl. Ulang - Bangkaun,Jl. Ulang - Bangkaun,1360.0,1360.0,2200.0,2200.0,ok
289,Bayanan - Habirau Tengah,Bayanan - Habirau Tengah,1500.0,1500.0,1360.0,1360.0,ok
290,Tumbukan Banyu - Banua Hanyar,Tumbukan Banyu - Banua Hanyar,5000.0,5000.0,0.0,0,ok
291,Jl. Satria,Jl. Satria,370.0,370.0,0.0,0,ok
292,Jl. Musyawarah,Jl. Musyawarah (Nagara),410.0,410.0,0.0,0,ok
293,Jl. Sekolah Islam,Jl. Sekolah Islam (Sungai Pinang / Sei Pinang),400.0,400.0,0.0,0,ok
294,Jl. Habib,Jl. Habib,320.0,320.0,0.0,0,ok
295,Jl. Mawar,Jl. Mawar (Daha Selatan),0.0,0,270.0,270.0,ok
296,Jl. Inst. PDAM Negara,Jl. Inst. PDAM Negara,160.0,160.0,100.0,100.0,ok
297,Jl. Gerilya / (Depan PUSTU Habirau),Jl. Gerilya / (Depan PUSTU Habirau),0.0,0,240.0,240.0,ok
298,Jl. Harapan (SDN Habirau II)/ Sei. Palangan,Jl. Harapan (SDN Habirau II)/ Sei. Palangan,0.0,0,210.0,210.0,ok
299,Samuda - Bajayau,Samuda - Bajayau,5700.0,5700.0,2800.0,2800.0,ok
300,Jl. Tambangan - Ds. Baruh Jaya,Jl. Tambangan - Ds. Baruh Jaya,0.0,0,2230.0,2230.0,ok
301,Muning Tengah - Batang Alai (Pihanin Raya),Muning Tengah - Batang Alai (Pihanin Raya),0.0,0,5260.0,5260.0,ok
302,Muning Tengah - Ds. Muning Dalam,Muning Tengah - Ds. Muning Dalam,0.0,0,17110.0,17110.0,ok
303,SP.4 Banjarbaru - Pasar Negara,SP.4 Banjarbaru - Pasar Negara,560.0,560.0,100.0,100.0,ok
304,Negara - Tumbukan Banyu,Negara - Tumbukan Banyu,430.0,430.0,100.0,100.0,ok
305,SP.4. Banjarbaru - Pihanin Raya,SP.4. Banjarbaru - Pihanin Raya,1040.0,1040.0,0.0,0,ok
306,Bayanan - Pihanin,Bayanan - Pihanin,1000.0,1000.0,1210.0,1210.0,ok
307,Jl. Kantor Camat Daha Selatan II,Jl. Kantor Camat Daha Selatan II,320.0,320.0,0.0,0,ok
308,Jl. Sungai Bugundi,Jl. Sungai Bugundi,0.0,0,310.0,310.0,ok
309,Jl. Tukang Garit (Tambangan),Jl. Tukang Garit (Tambangan),0.0,0,480.0,480.0,ok
310,Pandak Daun - Baruh Jaya - Samuda,Pandak Daun - Baruh Jaya - Samuda,5300.0,5300.0,2030.0,2030.0,ok
311,Sei. Mandala Murung Raya,Sei. Mandala Murung Raya,400.0,400.0,1700.0,1700.0,ok
312,Jl. Teluk Haur I,Jl. Teluk Haur I,0.0,0,180.0,180.0,ok
313,Jl. Teluk Haur II,Jl. Teluk Haur II,0.0,0,210.0,210.0,ok
314,Jl. H.M. Thaib,Jl. H.M. Thaib,150.0,150.0,200.0,200.0,ok
315,Jl. Kenanga - Ds. Baruh Kambang,Jl. Kenanga - Ds. Baruh Kambang,200.0,200.0,110.0,110.0,ok
316,Jl. SMAN Negara (KH. Abdullah),Jl. SMAN Negara (KH. Abdullah),340.0,340.0,0.0,0,ok
317,Jl. Pertukangan,Jl. Pertukangan,320.0,320.0,0.0,0,ok
318,Jl. Silaturrahim,Jl. Silaturrahim,280.0,280.0,0.0,0,ok
319,Jl. Habib Ibrahim - Ds. Sei Mandala,Jl. Habib Ibrahim - Ds. Sei Mandala,170.0,170.0,0.0,0,ok
320,Jl. Sukaramai - Keramat,Jl. Sukaramai - Keramat,730.0,730.0,0.0,0,ok
321,Jl. Pakan Dalam I,Jl. Pakan Dalam I,320.0,320.0,0.0,0,ok
322,Jl. Pakan Dalam II,Jl. Pakan Dalam II,290.0,290.0,0.0,0,ok
323,Jl. Pakan Dalam III,Jl. Pakan Dalam III,280.0,280.0,0.0,0,ok
324,Jl. Paramaian,Jl. Paramaian,0.0,0,300.0,300.0,ok
325,Jl. MIN Pandak Daun,Jl. MIN Pandak Daun,100.0,100.0,200.0,200.0,ok
326,Jl. Pesantren Muradiyah,Jl. Pesantren Muradiyah,270.0,270.0,0.0,0,ok
327,Pandak Daun (Buntut Muradiyah) - Pakan Dalam,Pandak Daun (Buntut Muradiyah) - Pakan Dalam,0.0,0,1650.0,1650.0,ok
328,Pakan Dalam - Kaminting Batu,Pakan Dalam - Kaminting Batu,1000.0,1000.0,820.0,820.0,ok
329,Jl. Samping Kantor Camat Daha Utara,Jl. Samping Kantor Camat Daha Utara,150.0,150.0,0.0,0,ok
330,Jl. Gang Bidan (Ds. Tambak Bitin),Jl. Gang Bidan (Ds. Tambak Bitin),570.0,570.0,0.0,0,ok
331,Jl. Cangkingan Herman,Jl. Cangkingan Herman,200.0,200.0,120.0,120.0,ok
332,Jl. Kampung Kawat,Jl. Kampung Kawat,0.0,0,330.0,330.0,ok
333,Jl. Kaminting Batu,Jl. Kaminting Batu,0.0,0,350.0,350.0,ok
334,Jl. Hamayung - Hakurung Dalam,Jl. Hamayung - Hakurung Dalam,100.0,100.0,4000.0,4000.0,ok
335,Simpang Jadi Makmur - Ds. Samuda,Simpang Jadi Makmur - Ds. Samuda,660.0,660.0,0.0,0,ok
336,Jl. Sakincung - Ds. Hakurung Dalam,Jl. Sakincung - Ds. Hakurung Dalam,340.0,340.0,1000.0,1000.0,ok
337,Jl. Hakurung Dalam - Ds. Sungai Haji,Jl. Hakurung Dalam - Ds. Sungai Haji,270.0,270.0,300.0,300.0,ok
338,Jl. Siang Gantung - Ds. Baru,Jl. Siang Gantung - Ds. Baru,1930.0,1930.0,5000.0,5000.0,ok
339,Jl. Baru - Ds. Bajayau,Jl. Baru - Ds. Bajayau,0.0,0,2330.0,2330.0,ok
340,Jl. Bajayau - Ds. Bajayau Tengah,Jl. Bajayau - Ds. Bajayau Tengah,2500.0,2500.0,5080.0,5080.0,ok
341,Jl. Banua Hanyar - Ds. Tanjung Selor,Jl. Banua Hanyar - Ds. Tanjung Selor,0.0,0,5610.0,5610.0,ok
342,Jl. Tanjung Selor - Ds. Badaun,Jl. Tanjung Selor - Ds. Badaun,0.0,0,8030.0,8030.0,ok
343,Jl. Badaun - Ds. Bjayau Lama,Jl. Badaun - Ds. Bjayau Lama,0.0,0,3100.0,3100.0,ok
344,Jl. Goha - Ds. Amawang Kanan,Jl. Goha - Ds. Amawang Kanan,700.0,700.0,0.0,0,ok
345,Jl. Al - Ikhlas - Ds. Baluti,Jl. Al - Ikhlas - Ds. Baluti,380.0,380.0,0.0,0,ok
346,Jl. Angkakai - Ds. Amawang Kiri,Jl. Angkakai - Ds. Amawang Kiri,400.0,400.0,0.0,0,ok
347,Jl. Anjiran Rantauan - Ds. Taniran Tengah,Jl. Anjiran Rantauan - Ds. Taniran Tengah,0.0,0,1210.0,1210.0,ok
348,Jl. Asam Duhat - Ds. Pantai Ulin,Jl. Asam Duhat - Ds. Pantai Ulin,0.0,0,1110.0,1110.0,ok
349,Jl. Pertanian - Ds. Wasah Tengah,Jl. Pertanian - Ds. Wasah Tengah,360.0,360.0,0.0,0,ok
350,Jl. Keramat Sakti - Ds. Tebing Tinggi,Jl. Keramat Sakti - Ds. Tebing Tinggi,600.0,600.0,90.0,90.0,ok
,TOTAL,,392890.0,,339570.0,,missing_in_master_aggregate
