comparison_name,K,category,road_key,road_name,rank_A,rank_B,A_scenario_id,A_model,A_score_type,B_scenario_id,B_model,B_score_type
AHP_WSM_17_vs_Historis_Any2026_Final,35,A_only,asam cangkuk - telaga bidadari,Asam Cangkuk - Telaga Bidadari,31,,normatif_17,AHP_WSM,,refined_recall_max_any2026,DecisionTree,rerank_population_focus
AHP_WSM_17_vs_Historis_Any2026_Final,35,A_only,rantauan - sei baru pulau,Rantauan - Sungai Baru (Pulau),32,,normatif_17,AHP_WSM,,refined_recall_max_any2026,DecisionTree,rerank_population_focus
AHP_WSM_17_vs_Historis_Any2026_Final,35,A_only,wasah hilir - sarang halang,Wasah Hilir - Sarang Halang,33,,normatif_17,AHP_WSM,,refined_recall_max_any2026,DecisionTree,rerank_population_focus
AHP_WSM_17_vs_Historis_Any2026_Final,35,A_only,taal batang kulur - sp 3 muara prg agung,Taal Batang Kulur - Sp. 3 Muara Prg Agung,34,,normatif_17,AHP_WSM,,refined_recall_max_any2026,DecisionTree,rerank_population_focus
AHP_WSM_17_vs_Historis_Any2026_Final,35,A_only,newangsekarti - desa gambah luar muka,Newangsekarti - Ds. Gambah Luar Muka,35,,normatif_17,AHP_WSM,,refined_recall_max_any2026,DecisionTree,rerank_population_focus
AHP_WSM_17_vs_Historis_Any2026_Final,35,B_only,padang batung - batulaki - malilingin,padang batung – batulaki – malilingin,,2,normatif_17,AHP_WSM,,refined_recall_max_any2026,DecisionTree,rerank_population_focus
AHP_WSM_17_vs_Historis_Any2026_Final,35,B_only,angkinang - kayu abang - panggang hijau,angkinang – kayu abang – panggang hijau,,3,normatif_17,AHP_WSM,,refined_recall_max_any2026,DecisionTree,rerank_population_focus
AHP_WSM_17_vs_Historis_Any2026_Final,35,B_only,baluti - jambu hulu paku,baluti – jambu hulu paku,,4,normatif_17,AHP_WSM,,refined_recall_max_any2026,DecisionTree,rerank_population_focus
AHP_WSM_17_vs_Historis_Any2026_Final,35,B_only,samuda - bajayau,samuda – bajayau,,5,normatif_17,AHP_WSM,,refined_recall_max_any2026,DecisionTree,rerank_population_focus
AHP_WSM_17_vs_Historis_Any2026_Final,35,B_only,hamalau - telaga bidadari - wasah hilir,hamalau – telaga bidadari – wasah hilir,,6,normatif_17,AHP_WSM,,refined_recall_max_any2026,DecisionTree,rerank_population_focus
AHP_WSM_17_vs_Historis_Any2026_Final,35,B_only,tembok baru - desa baluti,tembok baru – desa baluti,,7,normatif_17,AHP_WSM,,refined_recall_max_any2026,DecisionTree,rerank_population_focus
AHP_WSM_17_vs_Historis_Any2026_Final,35,B_only,baiturrahim parincahan,baiturrahim parincahan,,8,normatif_17,AHP_WSM,,refined_recall_max_any2026,DecisionTree,rerank_population_focus
