no_ruas,nama_ruas_raw,kecamatan_dilalui,panjang_ruas_km,lebar_ruas_m,perkerasan_hotmix_km,perkerasan_lapen_makadam_km,perkerasan_beton_km,perkerasan_telford_kerikil_km,perkerasan_tanah_belum_tembus_km,kondisi_baik_km,kondisi_baik_pct,kondisi_sedang_km,kondisi_sedang_pct,kondisi_rusak_ringan_km,kondisi_rusak_ringan_pct,kondisi_rusak_berat_km,kondisi_rusak_berat_pct,non_mantap_pct,lhr,akses_npk,keterangan_tahun
323,Jl. Pakan Dalam III,Daha Utara,0.28,3.5,0.2800000011920929,0,0,0,0,0,0.0,0.2800000011920929,100.0,0,0.0,0,0.0,0.0,0,0,2025
324,Jl. Paramaian,Daha Utara,0.3,3,0.20000000298023224,0,0,0.10000000149011612,0,0,0.0,0,0.0,0,0.0,0.30000000447034836,100.000001,100.000001,0,0,2025
325,Jl. MIN Pandak Daun,Daha Utara,0.3,3,0.10000000149011612,0,0,0.20000000298023224,0,0,0.0,0.10000000149011612,33.333334,0,0.0,0.20000000298023224,66.666668,66.666668,0,0,2025
326,Jl. Pesantren Muradiyah,Daha Utara,0.27,3,0.27000001072883606,0,0,0,0,0,0.0,0.27000001072883606,100.000004,0,0.0,0,0.0,0.0,0,0,2025
327,Pandak Daun (Buntut Muradiyah) - Pakan Dalam,Daha Utara,1.65,3.5,0,0,0,0,1.649999976158142,0,0.0,0,0.0,0,0.0,1.649999976158142,99.999999,99.999999,0,0,2025
328,Pakan Dalam - Kaminting Batu,Daha Utara,1.82,3,1.5,0,0.3199999928474426,0,0,0.20000000298023224,10.989011,0.800000011920929,43.956045,0.2199999988079071,12.087912,0.6000000238418579,32.967034,45.054946,0,0,2025
329,Jl. Samping Kantor Camat Daha Utara,Daha Utara,0.15,3.5,0.15000000596046448,0,0,0,0,0,0.0,0.15000000596046448,100.000004,0,0.0,0,0.0,0.0,0,0,2025
330,Jl. Gang Bidan (Ds. Tambak Bitin),Daha Utara,0.57,3,0,0,0.5700000077486038,0,0,0.5699999928474426,99.999999,0,0.0,0,0.0,0,0.0,0.0,0,0,2025
331,Jl. Cangkingan Herman,Daha Utara,0.32,3,0.3199999928474426,0,0,0,0,0,0.0,0.20000000298023224,62.500001,0.10000000149011612,31.25,0.019999999552965164,6.25,37.5,0,0,2025
332,Jl. Kampung Kawat,Daha Utara,0.33,3,0.33000001311302185,0,0,0,0,0,0.0,0,0.0,0,0.0,0.33000001311302185,100.000004,100.000004,0,0,2025
333,Jl. Kaminting Batu,Daha Utara,0.35,3,0.3499999940395355,0,0,0,0,0,0.0,0,0.0,0,0.0,0.3499999940395355,99.999998,99.999998,0,0,2025
334,Jl. Hamayung - Hakurung Dalam,Daha Utara,4.1,3,0,0,2.4000000953674316,0,1.7000000476837158,0,0.0,0.10000000149011612,2.439024,1.399999976158142,34.146341,2.600000023841858,63.414635,97.560976,0,0,2025
335,Simpang Jadi Makmur - Ds. Samuda,Daha Utara,0.66,2,0,0,0.6600000262260437,0,0,0,0.0,0.6600000262260437,100.000004,0,0.0,0,0.0,0.0,0,0,2025
336,Jl. Sakincung - Ds. Hakurung Dalam,Daha Utara,1.34,2,0,0,1.0399999618530273,0,0.30000001192092896,0,0.0,0.3400000035762787,25.373135,0.6000000238418579,44.776121,0.4000000134110451,29.850747,74.626868,0,0,2025
337,Jl. Hakurung Dalam - Ds. Sungai Haji,Daha Utara,0.57,3,0,0,0.5699999928474426,0,0,0,0.0,0.27000001072883606,47.368423,0.10000000149011612,17.54386,0.20000000298023224,35.08772,52.63158,0,0,2025
338,Jl. Siang Gantung - Ds. Baru,Daha Barat,6.93,3.609999895095825,3.5999999046325684,0,1.9299999475479126,1.399999976158142,0,0,0.0,1.9299999475479126,27.849927,0.6000000238418579,8.658009,4.399999976158142,63.492063,72.150072,0,0,2025
339,Jl. Baru - Ds. Bajayau,Daha Barat,2.33,4,0,0,0,0,2.3299999237060547,0,0.0,0,0.0,0,0.0,2.3299999237060547,99.999997,99.999997,0,0,2025
340,Jl. Bajayau - Ds. Bajayau Tengah,Daha Barat,7.58,3.5,3,0,0,0,4.579999923706055,2.0999999046325684,27.704484,0.4000000059604645,5.277045,0.10000000149011612,1.319261,4.979999929666519,65.699208,67.018469,0,0,2025
341,Jl. Banua Hanyar - Ds. Tanjung Selor,Daha Barat,5.61,3,0,0,0,0,5.610000133514404,0,0.0,0,0.0,0,0.0,5.610000133514404,100.000002,100.000002,0,0,2025
342,Jl. Tanjung Selor - Ds. Badaun,Daha Barat,8.03,3,0,0,0,0,8.029999732971191,0,0.0,0,0.0,0,0.0,8.029999732971191,99.999997,99.999997,0,0,2025
343,Jl. Badaun - Ds. Bjayau Lama,Daha Barat,3.1,3,0,0,0,0,3.0999999046325684,0,0.0,0,0.0,0,0.0,3.0999999046325684,99.999997,99.999997,0,0,2025
344,Jl. Goha - Ds. Amawang Kanan,Kandangan,0.7,3.5,0.699999988079071,0,0,0,0,0.699999988079071,99.999998,0,0.0,0,0.0,0,0.0,0.0,0,0,2025
345,Jl. Al - Ikhlas - Ds. Baluti,Kandangan,0.38,3.5,0.3799999952316284,0,0,0,0,0.3799999952316284,99.999999,0,0.0,0,0.0,0,0.0,0.0,0,0,2025
346,Jl. Angkakai - Ds. Amawang Kiri,Kandangan,0.4,3.5,0.4000000059604645,0,0,0,0,0.4000000059604645,100.000001,0,0.0,0,0.0,0,0.0,0.0,0,0,2025
347,Jl. Anjiran Rantauan - Ds. Taniran Tengah,Angkinang,1.21,3.5,0.7099999785423279,0,0,0.5,0,0,0.0,0,0.0,0,0.0,1.2099999785423279,99.999998,99.999998,0,0,2025
348,Jl. Asam Duhat - Ds. Pantai Ulin,Simpur,1.11,3.5,0,0,0,1.1100000143051147,0,0,0.0,0,0.0,0,0.0,1.1100000143051147,100.000001,100.000001,0,0,2025
349,Jl. Pertanian - Ds. Wasah Tengah,Simpur,0.36,3,0.36000001430511475,0,0,0,0,0.10000000149011612,27.777778,0.25999999046325684,72.22222,0,0.0,0,0.0,0.0,0,0,2025
350,Jl. Keramat Sakti - Ds. Tebing Tinggi,Simpur,0.69,3,0.6000000238418579,0,0,0,0.09000000357627869,0.20000000298023224,28.985508,0.4000000059604645,57.971015,0,0.0,0.09000000357627869,13.043479,13.043479,0,0,2025
