no_ruas_digit_1,no_ruas_digit_2,no_ruas_digit_3,nama_ruas_raw,kecamatan_dilalui,panjang_ruas_km,lebar_ruas_m,perkerasan_hotmix_km,perkerasan_lapen_makadam_km,perkerasan_beton_km,perkerasan_telford_kerikil_km,perkerasan_tanah_belum_tembus_km,kondisi_baik_km,kondisi_baik_pct_decimal,kondisi_sedang_km,kondisi_sedang_pct_decimal,kondisi_rusak_ringan_km,kondisi_rusak_ringan_pct_decimal,kondisi_rusak_berat_km,kondisi_rusak_berat_pct_decimal,lhr,akses_npk,keterangan_tahun,extra_24,no_ruas
0,2,7,Parincahan - Singakarsa (Jl. Harapan),Kandangan,0.66,3.5,0.6600000262260437,0,0,0,0,0,0,0.6600000262260437,1.0000000397364297,0,0,0,0,0,0,2025,,027
0,2,8,Budi Bakti - Tiga Desember,Kandangan,0.81,5,0.8100000023841858,0,0,0,0,0,0,0.8100000023841858,1.0000000029434393,0,0,0,0,0,0,2025,,028
0,2,9,Jl. Jafri Zamzam,Kandangan,1.07,3.0299999713897705,1.0700000524520874,0,0,0,0,0,0,0.6700000166893005,0.6261682398965425,0.20000000298023224,0.18691589063573105,0.20000000298023224,0.18691589063573105,0,0,2025,,029
0,3,0,Sungai Damang - Amawang Kiri,Kandangan,2.51,3.5,2.509999990463257,0,0,0,0,0.6000000238418579,0.2390438341999434,1.7100000381469727,0.6812749155964035,0.20000000298023224,0.07968127608774193,0,0,0,0,2025,,030
0,3,1,Amawang Muka - Getek,Kandangan,5.41,3.5,5.409999847412109,0,0,0,0,4.5,0.8317929759704251,0.4099999964237213,0.07578558159403351,0.5,0.09242144177449169,0,0,0,0,2025,,031
0,3,2,Amawang Kanan - Wasah Hulu,Kandangan,3.17,3.5,3.1700000762939453,0,0,0,0,0,0,2.4700000286102295,0.779179819750861,0.699999988079071,0.22082018551390253,0,0,0,0,2025,,032
0,3,3,Jl. DI. Panjaitan - Loklua,Kandangan,0.41,4.5,0.4099999964237213,0,0,0,0,0,0,0.4099999964237213,0.9999999912773692,0,0,0,0,0,0,2025,,033
0,3,4,Jl. Jend. Sudirman,Kandangan,2.44,8,2.440000057220459,0,0,0,0,0,0,2.440000057220459,1.0000000234510078,0,0,0,0,0,0,2025,,034
0,3,5,Jl. AES Nasution,Kandangan,0.24,3.5,0.23999999463558197,0,0,0,0,0.23999999463558197,0.9999999776482582,0,0,0,0,0,0,0,0,2025,,035
0,3,6,Tembok Lama - Loklua,Kandangan,0.84,3,0.8399999737739563,0,0,0,0,0,0,0.4399999976158142,0.5238095209712074,0.30000001192092896,0.3571428713344392,0.10000000149011612,0.11904762082156681,0,0,2025,,036
0,3,7,Jl. Kesehatan - Komp. Rmh Dokter,Kandangan,0.28,3.5,0.2800000011920929,0,0,0,0,0.2800000011920929,1.0000000042574746,0,0,0,0,0,0,0,0,2025,,037
0,3,8,Jl. Samping Bappeda - Mesjid Darul Halik,Kandangan,0.19,3.5,0.1899999976158142,0,0,0,0,0,0,0,0,0.1899999976158142,0.9999999874516537,0,0,0,0,2025,,038
0,3,9,Jl.  Bina Bakat,Kandangan,0.24,3,0.23999999463558197,0,0,0,0,0.23999999463558197,0.9999999776482582,0,0,0,0,0,0,0,0,2025,,039
0,4,0,Baluti - Jambu Hulu (Paku),Kandangan - Padang Batung,4.07,3.5,4.070000171661377,0,0,0,0,0.5,0.12285012285012284,1.7999999523162842,0.44226043054454156,1.2699999809265137,0.31203930735295177,0.5,0.12285012285012284,0,0,2025,,040
0,4,1,Sp. 3 Baluti - Amawang,Kandangan,1.57,3,1.5700000524520874,0,0,0,0,0.4000000059604645,0.25477707386016846,1.0700000524520874,0.681528695829355,0.10000000149011612,0.06369426846504211,0,0,0,0,2025,,041
0,4,2,Sei Kupang Utara - Simp. Empat Lungau,Kandangan,2.36,3.5,2.299999952316284,0,0.05999999865889549,0,0,1.5,0.6355932203389831,0.8600000143051147,0.3644067857225063,0,0,0,0,0,0,2025,,042
0,4,3,Sp. Empat Lungau - Bangkau,Kandangan,8.1,3,2.200000047683716,0,0,0,5.900000095367432,0,0,2.200000047683716,0.27160494415848346,0,0,5.900000095367432,0.728395073502152,0,0,2025,,043
0,4,4,Sp. Empat Lungau - Garis,Kandangan,8.19,3,1.600000023841858,0,0,1.399999976158142,5.190000057220459,0,0,1.600000023841858,0.19536019827128914,0,0,6.590000152587891,0.8046398232708047,0,0,2025,,044
